Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,653.788,560.985,12900.434,2,19,0,0,NA,NA,NA,NA,NA
2,1,2,653.788,551.894,13200.444,2,18,9.091,9.091,NA,9.091,0.03,-90,NA
3,1,3,653.788,541.667,13500.455,2,80,19.318,19.318,NA,10.227,0.034,-90,0
4,1,4,653.788,526.136,13800.465,2,158,34.848,34.848,NA,15.53,0.052,-90,0
5,1,5,653.788,526.136,14100.475,2,164,34.848,34.848,NA,0,0,0,90
6,1,6,651.894,517.803,14400.485,2,252,43.394,43.223,NA,8.546,0.028,-102.804,-102.804
7,1,7,651.894,509.47,14700.495,2,159,51.728,51.55,NA,8.333,0.028,-90,12.804
8,1,8,651.894,509.47,15000.505,2,114,51.728,51.55,NA,0,0,0,90
9,1,9,651.894,509.47,15300.515,2,226,51.728,51.55,NA,0,0,0,0
10,1,10,649.621,501.894,15600.525,2,146,59.637,59.238,NA,7.909,0.026,-106.699,-106.699
11,1,11,649.621,501.894,15900.535,2,243,59.637,59.238,NA,0,0,0,106.699
12,1,12,645.455,501.136,16200.545,2,184,63.872,60.426,NA,4.235,0.014,-169.695,-169.695
13,1,13,642.803,501.136,16500.556,2,234,66.523,60.848,NA,2.652,0.009,180,-10.305
14,1,14,636.364,491.667,16800.566,2,255,77.975,71.475,NA,11.452,0.038,-124.216,55.784
15,1,15,630.303,490.909,17100.576,2,251,84.083,73.906,NA,6.108,0.02,-172.875,-48.659
16,1,16,625,490.909,17400.586,2,250,89.386,75.759,NA,5.303,0.018,180,-7.125
17,1,17,619.318,490.909,17700.596,2,233,95.068,78.095,NA,5.682,0.019,180,0
18,1,18,616.667,493.182,18000.606,2,173,98.56,77.3,NA,3.492,0.012,139.399,-40.601
19,1,19,607.576,493.939,18300.616,2,223,107.682,81.429,NA,9.122,0.03,175.236,35.838
20,1,20,607.576,493.939,18600.626,2,208,107.682,81.429,NA,0,0,0,-175.236
21,1,21,607.576,493.939,18900.636,2,237,107.682,81.429,NA,0,0,0,0
22,1,22,599.621,494.697,19200.646,2,194,115.673,85.604,NA,7.991,0.027,174.56,174.56
23,1,23,599.621,504.545,19500.657,2,255,125.521,78.227,NA,9.848,0.033,90,-84.56
24,1,24,599.621,504.545,19800.667,2,255,125.521,78.227,NA,0,0,0,-90
25,1,25,599.621,504.545,20100.677,2,255,125.521,78.227,NA,0,0,0,0
26,1,26,603.409,495.833,20400.687,2,255,135.021,82.357,NA,9.5,0.032,-66.501,-66.501
27,1,27,603.788,492.424,20700.697,2,255,138.451,84.856,NA,3.43,0.011,-83.66,-17.158
28,1,28,603.788,489.773,21000.707,2,176,141.103,87.012,NA,2.652,0.009,-90,-6.34
29,1,29,603.788,489.773,21300.717,2,255,141.103,87.012,NA,0,0,0,90
30,1,30,603.788,489.773,21600.727,2,255,141.103,87.012,NA,0,0,0,0
31,1,31,603.788,489.773,21900.737,2,255,141.103,87.012,NA,0,0,0,0
32,1,32,603.788,489.773,22200.747,2,255,141.103,87.012,NA,0,0,0,0
33,1,33,603.788,489.773,22500.758,2,249,141.103,87.012,NA,0,0,0,0
34,1,34,607.197,489.773,22800.768,2,255,144.512,85.099,NA,3.409,0.011,0,0
35,1,35,607.576,489.773,23100.778,2,255,144.891,84.892,NA,0.379,0.001,0,0
36,1,36,607.576,489.773,23400.788,2,255,144.891,84.892,NA,0,0,0,0
37,1,37,607.576,489.773,23700.798,2,255,144.891,84.892,NA,0,0,0,0
38,1,38,607.576,485.227,24000.808,2,245,149.436,88.74,NA,4.545,0.015,-90,-90
39,1,39,605.303,483.333,24300.818,2,236,152.395,91.545,NA,2.958,0.01,-140.194,-50.194
40,1,40,605.303,482.955,24600.828,2,255,152.774,91.867,NA,0.379,0.001,-90,50.194
41,1,41,605.303,482.955,24900.838,2,255,152.774,91.867,NA,0,0,0,90
42,1,42,610.606,483.712,25200.849,2,255,158.13,88.52,NA,5.357,0.018,8.13,8.13
43,1,43,615.152,484.848,25500.859,2,255,162.816,85.379,NA,4.685,0.016,14.036,5.906
