Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,1125.758,656.061,3000.101,2,43,0,0,NA,NA,NA,NA,NA
2,1,2,1132.576,653.03,3300.111,2,88,7.461,7.461,NA,7.461,0.025,-23.962,NA
3,1,3,1140.152,653.03,3600.122,2,60,15.037,14.709,NA,7.576,0.025,0,23.962
4,1,4,1143.182,646.97,3900.132,2,75,21.813,19.653,NA,6.776,0.023,-63.435,-63.435
5,1,5,1143.182,646.97,4200.142,2,144,21.813,19.653,NA,0,0,0,63.435
6,1,6,1143.182,646.97,4500.152,2,141,21.813,19.653,NA,0,0,0,0
7,1,7,1147.727,646.97,4800.162,2,186,26.358,23.776,NA,4.545,0.015,0,0
8,1,8,1147.727,646.97,5100.172,2,170,26.358,23.776,NA,0,0,0,0
9,1,9,1146.212,654.545,5400.182,2,131,34.084,20.511,NA,7.726,0.026,101.31,101.31
10,1,10,1148.485,654.545,5700.193,2,89,36.357,22.778,NA,2.273,0.008,0,-101.31
11,1,11,1148.485,654.545,6000.203,2,126,36.357,22.778,NA,0,0,0,0
12,1,12,1153.03,658.333,6300.213,2,169,42.274,27.367,NA,5.917,0.02,39.806,39.806
13,1,13,1153.03,658.333,6600.223,2,119,42.274,27.367,NA,0,0,0,-39.806
14,1,14,1153.788,653.03,6900.233,2,129,47.631,28.194,NA,5.357,0.018,-81.87,-81.87
15,1,15,1156.061,653.03,7200.243,2,167,49.903,30.454,NA,2.273,0.008,0,81.87
16,1,16,1162.879,653.03,7500.253,2,217,56.722,37.245,NA,6.818,0.023,0,0
17,1,17,1162.879,653.03,7800.263,2,214,56.722,37.245,NA,0,0,0,0
18,1,18,1169.697,646.97,8100.274,2,216,65.844,44.87,NA,9.122,0.03,-41.634,-41.634
19,1,19,1169.697,645.455,8400.284,2,173,67.359,45.201,NA,1.515,0.005,-90,-48.366
20,1,20,1162.121,638.636,8700.294,2,189,77.551,40.323,NA,10.192,0.034,-138.013,-48.013
21,1,21,1158.333,631.818,9000.304,2,255,85.351,40.606,NA,7.8,0.026,-119.055,18.958
22,1,22,1160.606,624.242,9300.314,2,255,93.26,47.189,NA,7.909,0.026,-73.301,45.754
23,1,23,1167.424,625,9600.324,2,244,100.12,51.97,NA,6.86,0.023,6.34,79.641
24,1,24,1167.424,625,9900.334,2,255,100.12,51.97,NA,0,0,0,-6.34
25,1,25,1168.182,631.061,10200.344,2,255,106.228,49.242,NA,6.108,0.02,82.875,82.875
26,1,26,1168.182,631.061,10500.355,2,250,106.228,49.242,NA,0,0,0,-82.875
27,1,27,1169.697,638.636,10800.365,2,218,113.954,47.268,NA,7.726,0.026,78.69,78.69
28,1,28,1169.697,638.636,11100.375,2,255,113.954,47.268,NA,0,0,0,-78.69
29,1,29,1181.061,638.636,11400.385,2,154,125.318,57.983,NA,11.364,0.038,0,0
30,1,30,1181.061,638.636,11700.395,2,225,125.318,57.983,NA,0,0,0,0
31,1,31,1193.939,638.636,12000.405,2,158,138.196,70.373,NA,12.879,0.043,0,0
32,1,32,1203.788,640.152,12300.415,2,255,148.161,79.636,NA,9.964,0.033,8.746,8.746
33,1,33,1203.788,643.182,12600.426,2,208,151.191,79.086,NA,3.03,0.01,90,81.254
34,1,34,1203.788,643.182,12900.436,2,171,151.191,79.086,NA,0,0,0,-90
35,1,35,1213.636,643.182,13200.446,2,170,161.04,88.817,NA,9.848,0.033,0,0
36,1,36,1228.03,657.576,13500.456,2,204,181.396,102.284,NA,20.356,0.068,45,45
37,1,37,1229.545,658.333,13800.466,2,169,183.09,103.813,NA,1.694,0.006,26.565,-18.435
38,1,38,1253.788,687.879,14100.476,2,255,221.308,131.925,NA,38.218,0.127,50.631,24.066
39,1,39,1265.909,690.152,14400.486,2,255,233.64,144.238,NA,12.332,0.041,10.62,-40.011
40,1,40,1260.606,681.061,14700.496,2,200,244.165,137.146,NA,10.525,0.035,-120.256,-130.876
41,1,41,1258.333,681.061,15000.507,2,187,246.438,134.912,NA,2.273,0.008,180,-59.744
42,1,42,1258.333,681.061,15300.517,2,255,246.438,134.912,NA,0,0,0,-180
43,1,43,1266.667,681.061,15600.527,2,255,254.771,143.11,NA,8.333,0.028,0,0
44,1,44,1273.485,681.061,15900.537,2,255,261.589,149.828,NA,6.818,0.023,0,0
45,1,45,1278.788,684.848,16200.547,2,255,268.106,155.715,NA,6.517,0.022,35.538,35.538
46,1,46,1278.788,684.848,16500.557,2,255,268.106,155.715,NA,0,0,0,-35.538
47,1,47,1279.545,677.273,16800.567,2,210,275.72,155.244,NA,7.614,0.025,-84.289,-84.289
48,1,48,1279.545,677.273,17100.578,2,131,275.72,155.244,NA,0,0,0,84.289
49,1,49,1279.545,677.273,17400.588,2,255,275.72,155.244,NA,0,0,0,0
50,1,50,1259.091,677.273,17700.598,2,255,296.174,135.01,NA,20.455,0.068,180,180
51,1,51,1259.091,675.758,18000.608,2,255,297.689,134.78,NA,1.515,0.005,-90,90
52,1,52,1265.152,675.758,18300.618,2,255,303.75,140.779,NA,6.061,0.02,0,90
53,1,53,1265.152,671.97,18600.628,2,255,307.538,140.299,NA,3.788,0.013,-90,-90
54,1,54,1269.697,673.485,18900.638,2,255,312.329,144.99,NA,4.791,0.016,18.435,108.435
55,1,55,1267.424,676.515,19200.648,2,255,316.117,143.136,NA,3.788,0.013,126.87,108.435
