Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,501.768,610.859,0,2,54,0,0,NA,NA,NA,NA,NA
2,1,2,496.717,609.848,300.01,2,48,5.151,5.151,NA,5.151,0.017,-168.69,NA
3,1,3,496.717,609.848,600.02,2,67,5.151,5.151,NA,0,0,0,168.69
4,1,4,496.717,609.848,900.03,2,79,5.151,5.151,NA,0,0,0,0
5,1,5,496.717,606.313,1200.04,2,100,8.686,6.795,NA,3.535,0.012,-90,-90
6,1,6,501.263,606.313,1500.05,2,116,13.231,4.573,NA,4.545,0.015,0,90
7,1,7,501.263,609.848,1800.06,2,99,16.767,1.129,NA,3.535,0.012,90,90
8,1,8,504.293,609.848,2100.07,2,55,19.797,2.72,NA,3.03,0.01,0,-90
9,1,9,506.313,606.818,2400.08,2,59,23.439,6.082,NA,3.642,0.012,-56.31,-56.31
10,1,10,501.768,604.798,2700.09,2,73,28.413,6.061,NA,4.974,0.017,-156.038,-99.728
11,1,11,501.768,599.242,3000.1,2,81,33.969,11.616,NA,5.556,0.019,-90,66.038
12,1,12,494.192,599.242,3300.11,2,124,41.544,13.868,NA,7.576,0.025,180,-90
13,1,13,493.687,599.242,3600.12,2,58,42.049,14.15,NA,0.505,0.002,180,0
14,1,14,490.657,599.242,3900.13,2,55,45.08,16.075,NA,3.03,0.01,180,0
15,1,15,490.657,599.242,4200.14,2,100,45.08,16.075,NA,0,0,0,-180
16,1,16,490.657,599.242,4500.15,2,113,45.08,16.075,NA,0,0,0,0
17,1,17,486.616,599.242,4800.16,2,129,49.12,19.092,NA,4.04,0.013,180,180
18,1,18,484.596,598.232,5100.17,2,191,51.379,21.314,NA,2.259,0.008,-153.435,26.565
19,1,19,484.596,598.232,5400.18,2,241,51.379,21.314,NA,0,0,0,153.435
20,1,20,478.03,597.727,5700.19,2,110,57.964,27.127,NA,6.585,0.022,-175.601,-175.601
21,1,21,477.02,594.697,6000.2,2,202,61.158,29.557,NA,3.194,0.011,-108.435,67.166
22,1,22,476.515,594.192,6300.21,2,199,61.872,30.257,NA,0.714,0.002,-135,-26.565
23,1,23,476.515,589.141,6600.22,2,186,66.923,33.307,NA,5.051,0.017,-90,45
24,1,24,476.515,587.626,6900.23,2,205,68.438,34.314,NA,1.515,0.005,-90,0
25,1,25,478.535,586.111,7200.24,2,133,70.963,33.944,NA,2.525,0.008,-36.87,53.13
26,1,26,478.535,578.03,7500.249,2,115,79.044,40.217,NA,8.081,0.027,-90,-53.13
27,1,27,478.535,570.96,7800.259,2,82,86.115,46.17,NA,7.071,0.024,-90,0
28,1,28,478.535,570.455,8100.269,2,148,86.62,46.607,NA,0.505,0.002,-90,0
29,1,29,478.535,570.455,8400.279,2,73,86.62,46.607,NA,0,0,0,90
30,1,30,478.535,570.455,8700.289,2,108,86.62,46.607,NA,0,0,0,0
31,1,31,471.465,567.929,9000.299,2,116,94.128,52.547,NA,7.508,0.025,-160.346,-160.346
32,1,32,471.465,567.929,9300.309,2,116,94.128,52.547,NA,0,0,0,160.346
33,1,33,472.475,575.505,9600.319,2,113,101.771,45.912,NA,7.643,0.025,82.405,82.405
34,1,34,472.475,575.505,9900.329,2,137,101.771,45.912,NA,0,0,0,-82.405
35,1,35,476.515,570.455,10200.339,2,136,108.239,47.646,NA,6.468,0.022,-51.34,-51.34
36,1,36,477.525,560.354,10500.349,2,83,118.39,56.022,NA,10.151,0.034,-84.289,-32.949
37,1,37,477.525,560.354,10800.359,2,126,118.39,56.022,NA,0,0,0,84.289
38,1,38,479.545,569.949,11100.369,2,161,128.196,46.555,NA,9.806,0.033,78.111,78.111
39,1,39,479.545,569.949,11400.379,2,208,128.196,46.555,NA,0,0,0,-78.111
40,1,40,479.545,565.404,11700.389,2,184,132.742,50.596,NA,4.545,0.015,-90,-90
41,1,41,480.556,564.899,12000.399,2,216,133.871,50.619,NA,1.129,0.004,-26.565,63.435
42,1,42,476.01,564.899,12300.409,2,202,138.417,52.685,NA,4.545,0.015,180,-153.435
43,1,43,473.99,565.404,12600.419,2,172,140.499,53.27,NA,2.082,0.007,165.964,-14.036
44,1,44,473.99,565.909,12900.429,2,121,141.004,52.84,NA,0.505,0.002,90,-75.964
45,1,45,473.99,565.909,13200.439,2,217,141.004,52.84,NA,0,0,0,-90
46,1,46,469.444,562.374,13500.449,2,129,146.762,58.272,NA,5.758,0.019,-142.125,-142.125
47,1,47,469.444,562.374,13800.459,2,155,146.762,58.272,NA,0,0,0,142.125
48,1,48,466.919,562.374,14100.469,2,233,149.288,59.709,NA,2.525,0.008,180,180
49,1,49,468.434,562.374,14400.479,2,141,150.803,58.838,NA,1.515,0.005,0,-180
50,1,50,470.96,558.333,14700.489,2,156,155.567,60.894,NA,4.765,0.016,-57.995,-57.995
51,1,51,470.96,556.818,15000.499,2,208,157.083,62.205,NA,1.515,0.005,-90,-32.005
52,1,52,468.939,556.313,15300.509,2,189,159.165,63.662,NA,2.082,0.007,-165.964,-75.964
53,1,53,468.939,556.313,15600.519,2,219,159.165,63.662,NA,0,0,0,165.964
54,1,54,467.929,566.414,15900.529,2,104,169.316,55.86,NA,10.151,0.034,95.711,95.711
55,1,55,463.889,566.414,16200.539,2,129,173.357,58.396,NA,4.04,0.013,180,84.289
56,1,56,462.879,570.96,16500.549,2,190,178.013,55.716,NA,4.656,0.016,102.529,-77.471
57,1,57,457.828,570.96,16800.559,2,184,183.064,59.351,NA,5.051,0.017,180,77.471
58,1,58,457.828,568.939,17100.569,2,147,185.084,60.728,NA,2.02,0.007,-90,90
59,1,59,460.354,565.909,17400.579,2,159,189.028,61.119,NA,3.945,0.013,-50.194,39.806
60,1,60,457.828,565.909,17700.589,2,144,191.554,62.858,NA,2.525,0.008,180,-129.806
61,1,61,454.798,565.909,18000.599,2,87,194.584,65.012,NA,3.03,0.01,180,0
62,1,62,451.768,565.909,18300.609,2,113,197.614,67.234,NA,3.03,0.01,180,0
