Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,455.808,621.97,5700.19,2,65,0,0,NA,NA,NA,NA,NA
2,1,2,445.202,620.96,6000.2,2,125,10.654,10.654,NA,10.654,0.036,-174.56,NA
3,1,3,440.657,616.414,6300.21,2,255,17.082,16.138,NA,6.428,0.021,-135,39.56
4,1,4,434.091,616.414,6600.22,2,255,23.648,22.417,NA,6.566,0.022,180,-45
5,1,5,434.091,616.414,6900.23,2,247,23.648,22.417,NA,0,0,0,-180
6,1,6,428.535,616.414,7200.24,2,221,29.204,27.833,NA,5.556,0.019,180,180
7,1,7,427.02,612.374,7500.25,2,249,33.519,30.345,NA,4.315,0.014,-110.556,69.444
8,1,8,427.02,612.374,7800.26,2,254,33.519,30.345,NA,0,0,0,110.556
9,1,9,427.02,612.374,8100.27,2,235,33.519,30.345,NA,0,0,0,0
10,1,10,427.02,612.374,8400.28,2,255,33.519,30.345,NA,0,0,0,0
11,1,11,427.02,612.374,8700.29,2,255,33.519,30.345,NA,0,0,0,0
12,1,12,427.02,612.374,9000.3,2,255,33.519,30.345,NA,0,0,0,0
13,1,13,425,617.424,9300.31,2,255,38.958,31.142,NA,5.44,0.018,111.801,111.801
14,1,14,415.909,617.424,9600.32,2,255,48.049,40.157,NA,9.091,0.03,180,68.199
15,1,15,409.848,621.97,9900.33,2,255,55.625,45.96,NA,7.576,0.025,143.13,-36.87
16,1,16,403.283,626.01,10200.34,2,255,63.334,52.68,NA,7.709,0.026,148.392,5.262
17,1,17,403.283,626.01,10500.35,2,255,63.334,52.68,NA,0,0,0,-148.392
18,1,18,396.212,626.01,10800.36,2,255,70.405,59.733,NA,7.071,0.024,180,180
19,1,19,396.212,620.455,11100.37,2,255,75.96,59.615,NA,5.556,0.019,-90,90
20,1,20,396.212,620.455,11400.38,2,255,75.96,59.615,NA,0,0,0,90
21,1,21,393.182,620.455,11700.39,2,255,78.991,62.645,NA,3.03,0.01,180,180
22,1,22,393.182,620.455,12000.4,2,255,78.991,62.645,NA,0,0,0,-180
23,1,23,393.182,620.455,12300.41,2,255,78.991,62.645,NA,0,0,0,0
24,1,24,394.192,616.414,12600.42,2,255,83.155,61.866,NA,4.165,0.014,-75.964,-75.964
25,1,25,394.192,616.414,12900.43,2,255,83.155,61.866,NA,0,0,0,75.964
26,1,26,389.646,613.889,13200.44,2,255,88.355,66.653,NA,5.2,0.017,-150.945,-150.945
27,1,27,383.081,613.889,13500.45,2,255,94.921,73.175,NA,6.566,0.022,180,-29.055
28,1,28,378.03,613.889,13800.46,2,255,99.971,78.196,NA,5.051,0.017,180,0
29,1,29,373.485,613.889,14100.47,2,255,104.517,82.719,NA,4.545,0.015,180,0
30,1,30,365.404,613.889,14400.48,2,255,112.598,90.764,NA,8.081,0.027,180,0
31,1,31,365.404,613.889,14700.49,2,255,112.598,90.764,NA,0,0,0,-180
32,1,32,351.263,612.374,15000.5,2,255,126.82,104.985,NA,14.222,0.047,-173.884,-173.884
33,1,33,345.202,612.374,15300.51,2,255,132.881,111.022,NA,6.061,0.02,180,-6.116
34,1,34,342.677,612.374,15600.521,2,255,135.406,113.538,NA,2.525,0.008,180,0
35,1,35,335.606,608.838,15900.531,2,255,143.311,120.917,NA,7.905,0.026,-153.435,26.565
