Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,1082.576,844.697,6000.193,2,76,0,0,NA,NA,NA,NA,NA
2,1,2,1082.576,844.697,6300.203,2,53,0,0,NA,0,0,0,NA
3,1,3,1082.576,846.97,6600.213,2,63,2.273,2.273,NA,2.273,0.008,90,90
4,1,4,1085.606,846.97,6900.223,2,13,5.303,3.788,NA,3.03,0.01,0,-90
5,1,5,1084.848,844.697,7200.232,2,9,7.699,2.273,NA,2.396,0.008,-108.435,-108.435
6,1,6,1087.879,843.939,7500.242,2,3,10.822,5.357,NA,3.124,0.01,-14.036,94.399
7,1,7,1103.788,839.394,7800.252,2,3,27.368,21.865,NA,16.546,0.055,-15.945,-1.909
8,1,8,1115.909,839.394,8100.261,2,72,39.489,33.753,NA,12.121,0.04,0,15.945
9,1,9,1125,839.394,8400.271,2,64,48.58,42.754,NA,9.091,0.03,0,0
10,1,10,1125,843.182,8700.281,2,79,52.368,42.451,NA,3.788,0.013,90,90
11,1,11,1126.515,843.182,9000.29,2,48,53.883,43.966,NA,1.515,0.005,0,-90
12,1,12,1131.061,851.515,9300.3,2,74,63.376,48.962,NA,9.492,0.032,61.39,61.39
13,1,13,1131.061,851.515,9600.31,2,82,63.376,48.962,NA,0,0,0,-61.39
14,1,14,1131.061,851.515,9900.319,2,60,63.376,48.962,NA,0,0,0,0
15,1,15,1131.061,851.515,10200.329,2,112,63.376,48.962,NA,0,0,0,0
16,1,16,1131.061,851.515,10500.339,2,72,63.376,48.962,NA,0,0,0,0
17,1,17,1131.061,851.515,10800.348,2,66,63.376,48.962,NA,0,0,0,0
18,1,18,1131.061,851.515,11100.358,2,60,63.376,48.962,NA,0,0,0,0
19,1,19,1133.333,849.242,11400.368,2,43,66.59,50.961,NA,3.214,0.011,-45,-45
20,1,20,1138.636,841.667,11700.377,2,94,75.837,56.142,NA,9.247,0.031,-55.008,-10.008
21,1,21,1138.636,841.667,12000.387,2,75,75.837,56.142,NA,0,0,0,55.008
22,1,22,1136.111,838.636,12300.397,2,83,79.782,53.877,NA,3.945,0.013,-129.806,-129.806
