Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,791.667,621.212,27600.929,2,79,0,0,NA,NA,NA,NA,NA
2,1,2,791.667,618.182,27900.939,2,41,3.03,3.03,NA,3.03,0.01,-90,NA
3,1,3,791.667,611.364,28200.95,2,78,9.848,9.848,NA,6.818,0.023,-90,0
4,1,4,791.667,607.576,28500.96,2,133,13.636,13.636,NA,3.788,0.013,-90,0
5,1,5,793.182,605.303,28800.97,2,108,16.368,15.981,NA,2.731,0.009,-56.31,33.69
6,1,6,793.182,593.939,29100.98,2,128,27.731,27.315,NA,11.364,0.038,-90,-33.69
7,1,7,798.737,593.182,29400.99,2,110,33.338,28.908,NA,5.607,0.019,-7.765,82.235
8,1,8,798.232,593.182,29701,2,90,33.843,28.789,NA,0.505,0.002,180,-172.235
9,1,9,798.232,593.182,30001.01,2,52,33.843,28.789,NA,0,0,0,-180
10,1,10,799.242,590.657,30301.02,2,100,36.563,31.481,NA,2.72,0.009,-68.199,-68.199
11,1,11,799.242,581.566,30601.03,2,98,45.654,40.364,NA,9.091,0.03,-90,-21.801
12,1,12,799.242,577.02,30901.04,2,122,50.2,44.837,NA,4.545,0.015,-90,0
13,1,13,799.242,567.424,31201.051,2,87,59.796,54.319,NA,9.596,0.032,-90,0
14,1,14,800.253,567.424,31501.061,2,125,60.806,54.469,NA,1.01,0.003,0,90
15,1,15,800.758,567.424,31801.071,2,101,61.311,54.551,NA,0.505,0.002,0,0
16,1,16,800.758,562.879,32101.081,2,127,65.856,59.037,NA,4.545,0.015,-90,-90
17,1,17,801.768,556.818,32401.091,2,78,72,65.181,NA,6.144,0.02,-80.538,9.462
18,1,18,801.768,557.323,32701.101,2,79,72.505,64.682,NA,0.505,0.002,90,170.538
19,1,19,810.859,557.323,33001.111,2,140,81.596,66.709,NA,9.091,0.03,0,-90
20,1,20,810.859,557.323,33301.121,2,193,81.596,66.709,NA,0,0,0,0
21,1,21,810.859,551.263,33601.131,2,170,87.657,72.535,NA,6.061,0.02,-90,-90
22,1,22,810.859,549.747,33901.141,2,131,89.172,73.997,NA,1.515,0.005,-90,0
23,1,23,810.859,548.232,34201.152,2,95,90.687,75.461,NA,1.515,0.005,-90,0
24,1,24,810.859,533.586,34501.162,2,164,105.334,89.703,NA,14.646,0.049,-90,0
25,1,25,810.354,533.586,34801.172,2,140,105.839,89.597,NA,0.505,0.002,180,-90
26,1,26,805.808,531.061,35101.182,2,131,111.039,91.254,NA,5.2,0.017,-150.945,29.055
27,1,27,805.808,531.061,35401.192,2,107,111.039,91.254,NA,0,0,0,150.945
28,1,28,799.747,523.99,35701.202,2,66,120.351,97.557,NA,9.313,0.031,-130.601,-130.601
29,1,29,795.707,517.424,36001.212,2,97,128.061,103.866,NA,7.709,0.026,-121.608,8.994
30,1,30,795.707,515.404,36301.222,2,122,130.081,105.885,NA,2.02,0.007,-90,31.608
31,1,31,795.707,515.404,36601.232,2,109,130.081,105.885,NA,0,0,0,90
32,1,32,791.667,515.404,36901.242,2,55,134.121,105.808,NA,4.04,0.013,180,180
33,1,33,791.667,510.354,37201.253,2,107,139.172,110.859,NA,5.051,0.017,-90,90
34,1,34,791.667,510.354,37501.263,2,90,139.172,110.859,NA,0,0,0,90
35,1,35,792.677,506.313,37801.273,2,70,143.336,114.903,NA,4.165,0.014,-75.964,-75.964
36,1,36,793.182,504.798,38101.283,2,130,144.934,116.424,NA,1.597,0.005,-71.565,4.399
37,1,37,793.182,494.192,38401.293,2,103,155.54,127.029,NA,10.606,0.035,-90,-18.435
38,1,38,793.182,492.677,38701.303,2,90,157.055,128.544,NA,1.515,0.005,-90,0
39,1,39,786.111,491.162,39001.313,2,119,164.286,130.169,NA,7.231,0.024,-167.905,-77.905
40,1,40,777.02,481.566,39301.323,2,123,177.504,140.412,NA,13.218,0.044,-133.452,34.453
41,1,41,777.02,481.566,39601.333,2,106,177.504,140.412,NA,0,0,0,133.452
42,1,42,777.525,472.475,39901.343,2,75,186.609,149.408,NA,9.105,0.03,-86.82,-86.82
43,1,43,778.535,463.889,40201.354,2,111,195.254,157.87,NA,8.645,0.029,-83.29,3.53
44,1,44,775,455.303,40501.364,2,117,204.54,166.744,NA,9.285,0.031,-112.38,-29.09
45,1,45,776.01,455.303,40801.374,2,74,205.55,166.646,NA,1.01,0.003,0,112.38
46,1,46,780.556,442.677,41101.384,2,136,218.969,178.881,NA,13.42,0.045,-70.201,-70.201
47,1,47,781.061,442.677,41401.394,2,116,219.474,178.85,NA,0.505,0.002,0,70.201
48,1,48,781.061,442.677,41701.404,2,106,219.474,178.85,NA,0,0,0,0
49,1,49,793.687,433.081,42001.414,2,99,235.333,188.142,NA,15.859,0.053,-37.235,-37.235
50,1,50,796.717,427.02,42301.424,2,94,242.109,194.258,NA,6.776,0.023,-63.435,-26.2
51,1,51,796.717,427.02,42601.434,2,185,242.109,194.258,NA,0,0,0,63.435
52,1,52,798.232,423.485,42901.444,2,102,245.956,197.836,NA,3.846,0.013,-66.801,-66.801
53,1,53,798.232,417.424,43201.455,2,156,252.016,203.894,NA,6.061,0.02,-90,-23.199
54,1,54,782.071,417.424,43501.465,2,102,268.178,204.014,NA,16.162,0.054,180,-90
55,1,55,782.071,411.869,43801.475,2,70,273.733,209.563,NA,5.556,0.019,-90,90
56,1,56,771.465,411.364,44101.485,2,123,284.351,210.819,NA,10.618,0.035,-177.274,-87.274
57,1,57,771.465,411.364,44401.495,2,117,284.351,210.819,NA,0,0,0,177.274
58,1,58,771.465,403.788,44701.505,2,152,291.927,218.361,NA,7.576,0.025,-90,-90
59,1,59,774.495,403.788,45001.515,2,129,294.957,218.101,NA,3.03,0.01,0,90
60,1,60,774.495,403.788,45301.525,2,178,294.957,218.101,NA,0,0,0,0
61,1,61,774.495,403.788,45601.535,2,84,294.957,218.101,NA,0,0,0,0
62,1,62,770.455,397.727,45901.546,2,144,302.241,224.489,NA,7.284,0.024,-123.69,-123.69
63,1,63,770.455,390.657,46201.556,2,79,309.312,231.529,NA,7.071,0.024,-90,33.69
64,1,64,772.98,381.061,46501.566,2,143,319.235,240.877,NA,9.923,0.033,-75.256,14.744
65,1,65,772.98,381.061,46801.576,2,129,319.235,240.877,NA,0,0,0,75.256
66,1,66,772.98,370.96,47101.586,2,153,329.336,250.949,NA,10.101,0.034,-90,-90
67,1,67,773.485,364.394,47401.596,2,157,335.921,257.461,NA,6.585,0.022,-85.601,4.399
68,1,68,773.485,355.808,47701.606,2,89,344.507,266.026,NA,8.586,0.029,-90,-4.399
69,1,69,763.889,335.606,48001.616,2,69,366.872,286.954,NA,22.365,0.075,-115.408,-25.408
70,1,70,768.434,327.02,48301.626,2,66,376.587,295.108,NA,9.715,0.032,-62.103,53.305
71,1,71,769.444,317.929,48601.636,2,163,385.734,304.096,NA,9.147,0.03,-83.66,-21.557
72,1,72,768.939,312.374,48901.647,2,148,391.312,309.673,NA,5.578,0.019,-95.194,-11.535
73,1,73,768.939,312.374,49201.657,2,94,391.312,309.673,NA,0,0,0,95.194
74,1,74,768.939,299.242,49501.667,2,145,404.443,322.771,NA,13.131,0.044,-90,-90
75,1,75,774.495,289.646,49801.677,2,168,415.532,332.01,NA,11.088,0.037,-59.931,30.069
76,1,76,774.495,289.646,50101.687,2,77,415.532,332.01,NA,0,0,0,59.931
77,1,77,778.03,281.566,50401.697,2,44,424.352,339.92,NA,8.82,0.029,-66.371,-66.371
78,1,78,804.798,248.737,50701.707,2,117,466.71,372.706,NA,42.358,0.141,-50.807,15.564
79,1,79,804.798,248.232,51001.717,2,228,467.215,373.211,NA,0.505,0.002,-90,-39.193
80,1,80,804.798,248.232,51301.727,2,23,467.215,373.211,NA,0,0,0,90
81,1,81,804.798,222.475,51601.737,2,223,492.973,398.954,NA,25.758,0.086,-90,-90
82,1,82,807.323,212.374,51901.748,2,89,503.384,409.138,NA,10.412,0.035,-75.964,14.036
83,1,83,807.323,212.374,52201.758,2,245,503.384,409.138,NA,0,0,0,75.964
84,1,84,826.515,203.788,52501.768,2,112,524.409,418.876,NA,21.025,0.07,-24.102,-24.102
85,1,85,856.818,189.141,52801.778,2,247,558.066,436.955,NA,33.657,0.112,-25.796,-1.694
86,1,86,859.848,177.525,53101.788,2,192,570.071,448.895,NA,12.005,0.04,-75.379,-49.583
87,1,87,861.364,139.646,53401.798,2,145,607.98,486.583,NA,37.909,0.126,-87.709,-12.33
88,1,88,861.364,139.646,53701.808,2,197,607.98,486.583,NA,0,0,0,87.709
89,1,89,861.364,130.556,54001.818,2,140,617.071,495.582,NA,9.091,0.03,-90,-90
90,1,90,865.404,120.455,54301.828,2,83,627.95,506.157,NA,10.879,0.036,-68.199,21.801
91,1,91,865.404,91.667,54601.838,2,138,656.738,534.655,NA,28.788,0.096,-90,-21.801
92,1,92,868.434,26.515,54901.849,2,104,721.96,599.631,NA,65.222,0.217,-87.337,2.663
93,1,93,865.404,28.535,55201.859,2,148,725.602,597.246,NA,3.642,0.012,146.31,-126.353
94,1,94,865.404,15.909,55501.869,2,77,738.228,609.778,NA,12.626,0.042,-90,123.69
95,2,1,866.414,512.879,36601.232,2,90,0,0,NA,NA,NA,NA,NA
96,2,2,849.242,484.596,36901.242,2,125,33.088,33.088,NA,33.088,0.11,-121.264,NA
97,2,3,836.616,454.798,37201.253,2,154,65.45,65.279,NA,32.363,0.108,-112.964,8.3
98,2,4,831.566,449.747,37501.263,2,149,72.593,72.111,NA,7.142,0.024,-135,-22.036
99,2,5,824.495,446.212,37801.273,2,161,80.498,78.751,NA,7.905,0.026,-153.435,-18.435
100,2,6,824.495,433.586,38101.283,2,124,93.124,89.692,NA,12.626,0.042,-90,63.435
101,2,7,830.051,407.323,38401.293,2,207,119.968,111.644,NA,26.844,0.089,-78.056,11.944
102,2,8,816.414,402.273,38701.303,2,93,134.51,121.382,NA,14.542,0.048,-159.677,-81.621
103,2,9,817.424,400.253,39001.313,2,158,136.768,122.82,NA,2.259,0.008,-63.435,96.242
104,2,10,813.889,394.697,39301.323,2,182,143.353,129.328,NA,6.585,0.022,-122.471,-59.036
105,2,11,808.333,388.131,39601.333,2,231,151.954,137.606,NA,8.601,0.029,-130.236,-7.765
