Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,1014.899,761.869,6900.223,2,16,0,0,NA,NA,NA,NA,NA
2,1,2,1017.929,761.869,7200.232,2,43,3.03,3.03,NA,3.03,0.01,0,NA
3,1,3,1018.434,764.394,7500.242,2,64,5.606,4.345,NA,2.575,0.009,78.69,78.69
4,1,4,1024.495,769.949,7800.252,2,124,13.827,12.545,NA,8.222,0.027,42.51,-36.18
5,1,5,1025,769.949,8100.261,2,215,14.332,12.936,NA,0.505,0.002,0,-42.51
6,1,6,1025,769.949,8400.271,2,169,14.332,12.936,NA,0,0,0,0
7,1,7,1025,769.949,8700.281,2,56,14.332,12.936,NA,0,0,0,0
8,1,8,1021.97,772.475,9000.29,2,10,18.277,12.747,NA,3.945,0.013,140.194,140.194
9,1,9,1021.97,777.02,9300.3,2,37,22.822,16.72,NA,4.545,0.015,90,-50.194
10,1,10,1021.97,783.586,9600.31,2,66,29.388,22.839,NA,6.566,0.022,90,0
11,1,11,1021.97,783.586,9900.319,2,65,29.388,22.839,NA,0,0,0,-90
12,1,12,1027.02,788.636,10200.329,2,61,36.53,29.384,NA,7.142,0.024,45,45
13,1,13,1027.02,788.636,10500.339,2,126,36.53,29.384,NA,0,0,0,-45
14,1,14,1027.525,788.636,10800.348,2,83,37.035,29.596,NA,0.505,0.002,0,0
15,1,15,1027.525,788.636,11100.358,2,74,37.035,29.596,NA,0,0,0,0
16,1,16,1027.525,788.636,11400.368,2,156,37.035,29.596,NA,0,0,0,0
17,1,17,1029.04,791.162,11700.377,2,105,39.98,32.528,NA,2.945,0.01,59.036,59.036
18,1,18,1033.081,791.162,12000.387,2,180,44.021,34.477,NA,4.04,0.013,0,-59.036
19,1,19,1037.626,791.162,12300.397,2,136,48.566,37.076,NA,4.545,0.015,0,0
20,1,20,1037.626,791.162,12600.406,2,127,48.566,37.076,NA,0,0,0,0
21,1,21,1041.162,791.162,12900.416,2,200,52.102,39.342,NA,3.535,0.012,0,0
22,1,22,1043.182,791.162,13200.426,2,136,54.122,40.718,NA,2.02,0.007,0,0
23,1,23,1043.182,791.162,13500.435,2,213,54.122,40.718,NA,0,0,0,0
24,1,24,1045.707,788.636,13800.445,2,255,57.693,40.812,NA,3.571,0.012,-45,-45
25,1,25,1045.707,788.636,14100.455,2,243,57.693,40.812,NA,0,0,0,45
26,1,26,1045.707,788.636,14400.464,2,237,57.693,40.812,NA,0,0,0,0
27,1,27,1045.707,790.152,14700.474,2,207,59.208,41.822,NA,1.515,0.005,90,90
28,1,28,1045.707,792.677,15000.484,2,255,61.733,43.569,NA,2.525,0.008,90,0
29,1,29,1041.162,796.717,15300.493,2,155,67.815,43.636,NA,6.082,0.02,138.366,48.366
30,1,30,1038.636,799.242,15600.503,2,145,71.386,44.275,NA,3.571,0.012,135,-3.366
31,1,31,1038.636,804.798,15900.513,2,183,76.942,49.055,NA,5.556,0.019,90,-45
32,1,32,1038.636,804.798,16200.522,2,136,76.942,49.055,NA,0,0,0,-90
