Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,756.818,1076.515,0,2,130,0,0,NA,NA,NA,NA,NA
2,1,2,756.818,1076.515,300.009,2,145,0,0,NA,0,0,0,NA
3,1,3,756.818,1076.515,600.019,2,98,0,0,NA,0,0,0,0
4,1,4,756.818,1084.091,900.028,2,116,7.576,7.576,NA,7.576,0.025,90,90
5,1,5,756.818,1092.424,1200.038,2,67,15.909,15.909,NA,8.333,0.028,90,0
6,1,6,756.818,1092.424,1500.047,2,73,15.909,15.909,NA,0,0,0,-90
7,1,7,762.374,1093.687,1800.056,2,71,21.606,18.048,NA,5.697,0.019,12.804,12.804
8,1,8,762.374,1093.687,2100.066,2,29,21.606,18.048,NA,0,0,0,-12.804
9,1,9,763.384,1093.687,2400.075,2,53,22.616,18.384,NA,1.01,0.003,0,0
10,1,10,766.414,1093.687,2700.085,2,33,25.647,19.671,NA,3.03,0.01,0,0
11,1,11,770.96,1099.242,3000.094,2,74,32.825,26.768,NA,7.178,0.024,50.711,50.711
12,1,12,770.96,1101.263,3300.103,2,33,34.845,28.503,NA,2.02,0.007,90,39.289
13,1,13,770.96,1101.263,3600.113,2,37,34.845,28.503,NA,0,0,0,-90
14,1,14,771.97,1104.293,3900.122,2,67,38.039,31.641,NA,3.194,0.011,71.565,71.565
15,1,15,776.515,1108.838,4200.132,2,65,44.468,37.852,NA,6.428,0.021,45,-26.565
16,1,16,788.636,1122.98,4500.141,2,107,63.093,56.315,NA,18.625,0.062,49.399,4.399
17,1,17,788.636,1123.99,4800.15,2,99,64.103,57.151,NA,1.01,0.003,90,40.601
18,1,18,788.636,1133.081,5100.16,2,87,73.194,64.9,NA,9.091,0.03,90,0
19,1,19,788.636,1133.081,5400.169,2,151,73.194,64.9,NA,0,0,0,-90
20,1,20,788.636,1133.081,5700.179,2,107,73.194,64.9,NA,0,0,0,0
21,1,21,788.636,1133.081,6000.188,2,101,73.194,64.9,NA,0,0,0,0
22,1,22,785.606,1135.101,6300.197,2,62,76.836,65.277,NA,3.642,0.012,146.31,146.31
23,1,23,785.606,1135.101,6600.207,2,115,76.836,65.277,NA,0,0,0,-146.31
24,1,24,785.606,1139.141,6900.216,2,142,80.876,68.926,NA,4.04,0.013,90,90
