Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,825.758,407.576,4800.155,2,51,0,0,NA,NA,NA,NA,NA
2,1,2,828.788,400.758,5100.164,2,49,7.461,7.461,NA,7.461,0.025,-66.038,NA
3,1,3,827.273,396.212,5400.174,2,55,12.253,11.464,NA,4.791,0.016,-108.435,-42.397
4,1,4,827.273,396.212,5700.184,2,61,12.253,11.464,NA,0,0,0,108.435
5,1,5,827.273,400,6000.193,2,30,16.04,7.726,NA,3.788,0.013,90,90
6,1,6,817.424,393.182,6300.203,2,92,28.019,16.632,NA,11.978,0.04,-145.305,124.695
7,1,7,817.424,393.182,6600.213,2,60,28.019,16.632,NA,0,0,0,145.305
8,1,8,820.96,390.152,6900.223,2,71,32.675,18.073,NA,4.656,0.016,-40.601,-40.601
9,1,9,820.96,387.626,7200.232,2,24,35.2,20.518,NA,2.525,0.008,-90,-49.399
10,1,10,823.99,383.081,7500.242,2,76,40.663,24.559,NA,5.463,0.018,-56.31,33.69
11,1,11,823.99,383.081,7800.252,2,44,40.663,24.559,NA,0,0,0,56.31
12,1,12,829.545,381.566,8100.261,2,32,46.422,26.284,NA,5.758,0.019,-15.255,-15.255
13,1,13,839.141,381.566,8400.271,2,82,56.018,29.252,NA,9.596,0.032,0,15.255
14,1,14,847.222,381.566,8700.281,2,161,64.099,33.723,NA,8.081,0.027,0,0
15,1,15,847.222,381.566,9000.29,2,210,64.099,33.723,NA,0,0,0,0
16,1,16,847.222,371.97,9300.3,2,227,73.695,41.576,NA,9.596,0.032,-90,-90
17,1,17,842.172,371.97,9600.31,2,213,78.745,39.207,NA,5.051,0.017,180,-90
18,1,18,842.677,366.414,9900.319,2,236,84.323,44.503,NA,5.578,0.019,-84.806,95.194
19,1,19,848.232,361.364,10200.329,2,155,91.832,51.387,NA,7.508,0.025,-42.274,42.532
20,1,20,848.232,361.364,10500.339,2,193,91.832,51.387,NA,0,0,0,42.274
21,1,21,855.303,360.859,10800.348,2,216,98.92,55.276,NA,7.089,0.024,-4.086,-4.086
22,1,22,855.808,360.859,11100.358,2,167,99.425,55.548,NA,0.505,0.002,0,4.086
23,1,23,853.788,358.333,11400.368,2,196,102.659,56.661,NA,3.234,0.011,-128.66,-128.66
24,1,24,856.313,354.798,11700.377,2,211,107.004,60.985,NA,4.345,0.014,-54.462,74.197
25,1,25,851.768,354.798,12000.387,2,240,111.549,58.839,NA,4.545,0.015,180,-125.538
26,1,26,856.313,349.747,12300.397,2,255,118.344,65.405,NA,6.795,0.023,-48.013,131.987
27,1,27,864.394,349.747,12600.406,2,239,126.425,69.548,NA,8.081,0.027,0,48.013
28,1,28,864.899,350.253,12900.416,2,234,127.139,69.412,NA,0.714,0.002,45,45
29,1,29,864.899,350.253,13200.426,2,255,127.139,69.412,NA,0,0,0,-45
30,1,30,864.899,345.707,13500.435,2,255,131.685,73.211,NA,4.545,0.015,-90,-90
31,1,31,864.899,345.707,13800.445,2,255,131.685,73.211,NA,0,0,0,90
32,1,32,853.283,345.707,14100.455,2,255,143.301,67.715,NA,11.616,0.039,180,180
33,1,33,853.283,342.677,14400.464,2,255,146.331,70.495,NA,3.03,0.01,-90,90
34,1,34,851.263,342.677,14700.474,2,255,148.351,69.731,NA,2.02,0.007,180,-90
35,1,35,847.727,341.162,15000.484,2,255,152.198,69.954,NA,3.846,0.013,-156.801,23.199
36,1,36,848.737,341.162,15300.493,2,255,153.208,70.277,NA,1.01,0.003,0,156.801
37,1,37,844.697,346.717,15600.503,2,255,160.077,63.737,NA,6.869,0.023,126.027,126.027
38,1,38,841.162,349.747,15900.513,2,255,164.733,59.845,NA,4.656,0.016,139.399,13.371
39,1,39,841.162,354.798,16200.522,2,255,169.784,54.98,NA,5.051,0.017,90,-49.399
40,1,40,841.162,364.394,16500.532,2,255,179.38,45.847,NA,9.596,0.032,90,0
41,1,41,837.626,368.434,16800.542,2,232,184.749,40.901,NA,5.369,0.018,131.186,41.186
42,1,42,836.616,368.434,17100.551,2,247,185.759,40.62,NA,1.01,0.003,180,48.814
43,1,43,830.051,365.404,17400.561,2,236,192.99,42.39,NA,7.231,0.024,-155.225,24.775
44,1,44,829.545,365.404,17700.571,2,254,193.495,42.341,NA,0.505,0.002,180,-24.775
45,1,45,821.97,365.404,18000.58,2,254,201.071,42.341,NA,7.576,0.025,180,0
46,1,46,821.97,365.404,18300.59,2,255,201.071,42.341,NA,0,0,0,-180
47,1,47,833.586,357.828,18600.6,2,233,214.939,50.36,NA,13.868,0.046,-33.111,-33.111
48,1,48,840.152,364.899,18900.609,2,255,224.588,45.039,NA,9.649,0.032,47.121,80.232
49,1,49,846.212,377.525,19200.619,2,255,238.594,36.351,NA,14.005,0.047,64.359,17.238
50,1,50,849.747,377.02,19500.629,2,255,242.165,38.848,NA,3.571,0.012,-8.13,-72.489
51,1,51,850.758,365.909,19800.638,2,255,253.322,48.591,NA,11.157,0.037,-84.806,-76.675
52,1,52,850.758,365.909,20100.648,2,255,253.322,48.591,NA,0,0,0,84.806
53,1,53,850.758,365.909,20400.658,2,255,253.322,48.591,NA,0,0,0,0
54,1,54,850.758,365.909,20700.668,2,255,253.322,48.591,NA,0,0,0,0
