Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,385.794,565.515,0,2,19,0,0,NA,NA,NA,NA,NA
2,1,2,380.865,565.515,300.011,2,12,4.929,4.929,NA,4.929,0.016,180,NA
3,1,3,374.04,538.595,600.022,2,13,32.701,29.374,NA,27.772,0.093,-104.226,75.774
4,1,4,374.04,538.595,900.033,2,33,32.701,29.374,NA,0,0,0,104.226
5,1,5,370.628,535.941,1200.044,2,15,37.024,33.236,NA,4.323,0.014,-142.125,-142.125
6,1,6,365.699,535.941,1500.055,2,19,41.953,35.756,NA,4.929,0.016,180,-37.875
7,1,7,363.424,525.704,1800.066,2,5,52.44,45.666,NA,10.487,0.035,-102.529,77.471
8,1,8,358.495,493.854,2100.077,2,15,84.669,76.685,NA,32.229,0.107,-98.797,3.731
9,1,9,348.257,471.105,2400.088,2,17,109.615,101.599,NA,24.947,0.083,-114.228,-15.43
10,1,10,348.257,471.105,2700.099,2,15,109.615,101.599,NA,0,0,0,114.228
11,1,11,352.428,471.105,3000.11,2,16,113.786,100.133,NA,4.171,0.014,0,0
12,1,12,339.158,468.072,3300.121,2,7,127.399,108.029,NA,13.613,0.045,-167.125,-167.125
13,1,13,325.887,453.664,3600.132,2,7,146.987,126.885,NA,19.588,0.065,-132.647,34.478
14,1,14,327.404,447.597,3900.143,2,11,153.241,131.583,NA,6.253,0.021,-75.964,56.683
15,1,15,327.404,442.668,4200.154,2,18,158.17,136.018,NA,4.929,0.016,-90,-14.036
16,1,16,330.058,429.397,4500.165,2,19,171.703,147.087,NA,13.533,0.045,-78.69,11.31
17,1,17,337.262,410.629,4800.176,2,15,191.806,162.312,NA,20.103,0.067,-69.001,9.689
18,1,18,337.262,398.686,5100.187,2,11,203.75,173.746,NA,11.944,0.04,-90,-20.999
19,1,19,335.556,388.448,5400.198,2,15,214.128,184.056,NA,10.378,0.035,-99.462,-9.462
20,1,20,324.75,382.761,5700.209,2,12,226.34,192.68,NA,12.211,0.041,-152.241,-52.779
21,1,21,324.75,366.836,6000.22,2,17,242.264,207.846,NA,15.925,0.053,-90,62.241
22,1,22,323.043,352.618,6300.231,2,12,256.585,221.953,NA,14.32,0.048,-96.843,-6.843
23,1,23,315.65,346.362,6600.242,2,5,266.27,230.106,NA,9.685,0.032,-139.764,-42.921
24,1,24,337.831,305.981,6900.253,2,10,312.341,263.929,NA,46.071,0.154,-61.22,78.543
25,1,25,368.542,276.407,7200.264,2,8,354.978,289.623,NA,42.636,0.142,-43.919,17.301
26,1,26,360.58,296.881,7500.275,2,9,376.946,269.815,NA,21.968,0.073,111.251,155.17
27,1,27,357.168,283.232,7800.286,2,8,391.016,283.732,NA,14.07,0.047,-104.036,144.713
28,1,28,358.305,272.994,8100.297,2,15,401.316,293.81,NA,10.3,0.034,-83.66,20.376
29,1,29,351.48,249.676,8400.308,2,22,425.613,317.698,NA,24.297,0.081,-106.314,-22.654
30,1,30,340.105,222.377,8700.319,2,14,455.187,346.167,NA,29.574,0.099,-112.62,-6.306
31,1,31,343.518,220.102,9000.33,2,27,459.288,347.991,NA,4.101,0.014,-33.69,78.93
32,1,32,329.299,205.315,9300.341,2,9,479.802,364.604,NA,20.514,0.068,-133.877,-100.187
33,2,1,520.016,549.591,2700.099,2,20,0,0,NA,NA,NA,NA,NA
34,2,2,519.637,532.908,3000.11,2,10,16.687,16.687,NA,16.687,0.056,-91.302,NA
35,2,3,506.367,512.054,3300.121,2,12,41.405,39.941,NA,24.718,0.082,-122.471,-31.169
36,2,4,506.367,512.054,3600.132,2,7,41.405,39.941,NA,0,0,0,122.471
37,2,5,498.783,512.054,3900.143,2,44,48.989,43.126,NA,7.583,0.025,180,180
38,2,6,495.75,498.783,4200.154,2,5,62.601,56.305,NA,13.613,0.045,-102.875,77.125
39,2,7,498.783,493.854,4500.165,2,6,68.389,59.644,NA,5.788,0.019,-58.392,44.483
40,2,8,498.783,493.854,4800.176,2,14,68.389,59.644,NA,0,0,0,58.392
41,2,9,491.579,481.342,5100.187,2,9,82.827,73.936,NA,14.438,0.048,-119.932,-119.932
42,2,10,482.859,468.451,5400.198,2,11,98.391,89.243,NA,15.564,0.052,-124.077,-4.146
43,2,11,482.859,468.451,5700.209,2,13,98.391,89.243,NA,0,0,0,124.077
44,2,12,471.484,462.384,6000.22,2,39,111.282,99.802,NA,12.891,0.043,-151.928,-151.928
45,2,13,471.484,451.768,6300.231,2,30,121.899,109.2,NA,10.616,0.035,-90,61.928
46,2,14,469.967,451.768,6600.242,2,40,123.415,109.883,NA,1.517,0.005,180,-90
47,2,15,468.83,435.085,6900.253,2,16,140.137,125.426,NA,16.722,0.056,-93.9,86.1
48,2,16,468.072,427.502,7200.264,2,28,147.758,132.68,NA,7.621,0.025,-95.711,-1.81
