Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,239.06,559.449,0,2,90,0,0,NA,NA,NA,NA,NA
2,1,2,239.06,558.691,300.011,2,87,0.758,0.758,NA,0.758,0.003,-90,NA
3,1,3,231.476,556.416,600.022,2,75,8.675,8.167,NA,7.917,0.026,-163.301,-73.301
4,1,4,226.168,556.416,900.034,2,48,13.984,13.243,NA,5.308,0.018,180,-16.699
5,1,5,226.168,550.728,1200.045,2,25,19.671,15.564,NA,5.687,0.019,-90,90
6,1,6,226.168,543.145,1500.056,2,10,27.254,20.785,NA,7.583,0.025,-90,0
7,1,7,218.964,529.495,1800.067,2,58,42.688,36.07,NA,15.434,0.051,-117.824,-27.824
8,1,8,218.964,522.67,2100.078,2,36,49.513,41.91,NA,6.825,0.023,-90,27.824
9,1,9,211.76,520.396,2400.089,2,75,57.068,47.649,NA,7.555,0.025,-162.474,-72.474
10,1,10,201.144,511.296,2700.101,2,18,71.051,61.289,NA,13.983,0.047,-139.399,23.076
11,1,11,198.869,509.4,3000.112,2,39,74.012,64.189,NA,2.961,0.01,-140.194,-0.796
12,1,12,191.665,505.229,3300.123,2,46,82.336,72.014,NA,8.324,0.028,-149.931,-9.737
13,1,13,192.802,494.613,3600.134,2,19,93.013,79.646,NA,10.677,0.036,-83.884,66.047
14,1,14,192.802,485.892,3900.145,2,12,101.734,86.893,NA,8.721,0.029,-90,-6.116
15,1,15,192.802,476.792,4200.156,2,35,110.834,94.72,NA,9.1,0.03,-90,0
16,1,16,184.461,469.209,4500.168,2,74,122.107,105.472,NA,11.273,0.038,-137.726,-47.726
17,1,17,176.119,466.176,4800.179,2,47,130.983,112.523,NA,8.876,0.03,-160.017,-22.291
18,1,18,170.811,466.176,5100.19,2,53,136.291,115.576,NA,5.308,0.018,180,-19.983
19,1,19,171.19,458.213,5400.201,2,12,144.262,121.881,NA,7.971,0.027,-87.274,92.726
20,1,20,172.707,446.46,5700.212,2,14,156.114,131.032,NA,11.851,0.04,-82.648,4.626
21,1,21,170.053,440.772,6000.223,2,22,162.39,137.281,NA,6.276,0.021,-115.017,-32.369
22,1,22,170.053,435.843,6300.235,2,26,167.319,141.564,NA,4.929,0.016,-90,25.017
23,1,23,172.707,425.985,6600.246,2,24,177.528,149.048,NA,10.209,0.034,-74.932,15.068
24,1,24,170.811,418.023,6900.257,2,23,185.713,157.033,NA,8.185,0.027,-103.392,-28.461
25,1,25,170.432,410.439,7200.268,2,34,193.306,164.054,NA,7.593,0.025,-92.862,10.53
26,1,26,172.707,392.619,7500.279,2,24,211.271,179.541,NA,17.965,0.06,-82.725,10.137
27,1,27,172.707,385.415,7800.29,2,19,218.475,186.254,NA,7.204,0.024,-90,-7.275
28,1,28,170.432,378.969,8100.302,2,55,225.31,193.087,NA,6.835,0.023,-109.44,-19.44
29,1,29,175.361,371.007,8400.313,2,19,234.675,198.917,NA,9.365,0.031,-58.241,51.2
30,1,30,174.603,352.428,8700.324,2,28,253.269,216.823,NA,18.594,0.062,-92.337,-34.097
31,1,31,175.74,339.537,9000.335,2,29,266.211,228.846,NA,12.941,0.043,-84.958,7.38
32,1,32,175.74,333.47,9300.346,2,40,272.277,234.682,NA,6.067,0.02,-90,-5.042
33,1,33,184.082,312.996,9600.357,2,31,294.386,252.511,NA,22.109,0.074,-67.834,22.166
34,1,34,184.461,306.929,9900.369,2,32,300.464,258.355,NA,6.078,0.02,-86.424,-18.59
35,1,35,187.494,303.517,10200.38,2,31,305.03,261.075,NA,4.566,0.015,-48.366,38.057
36,1,36,195.456,292.9,10500.391,2,36,318.3,270.092,NA,13.271,0.044,-53.13,-4.764
37,1,37,195.077,281.905,10800.402,2,12,329.302,281.008,NA,11.002,0.037,-91.975,-38.845
38,1,38,195.077,272.805,11100.413,2,25,338.402,289.999,NA,9.1,0.03,-90,1.975
39,1,39,195.077,272.805,11400.424,2,23,338.402,289.999,NA,0,0,0,90
40,1,40,195.077,266.738,11700.436,2,65,344.469,295.997,NA,6.067,0.02,-90,-90
41,1,41,190.906,266.738,12000.447,2,29,348.64,296.645,NA,4.171,0.014,180,-90
42,1,42,197.921,250.814,12300.458,2,13,366.041,311.365,NA,17.401,0.058,-66.228,113.772
43,1,43,197.921,238.87,12600.469,2,32,377.984,323.208,NA,11.944,0.04,-90,-23.772
44,1,44,197.921,228.633,12900.48,2,135,388.221,333.364,NA,10.237,0.034,-90,0
45,1,45,197.921,228.633,13200.491,2,84,388.221,333.364,NA,0,0,0,90
46,1,46,196.783,228.633,13500.503,2,75,389.359,333.506,NA,1.137,0.004,180,180
47,1,47,194.508,228.633,13800.514,2,45,391.634,333.802,NA,2.275,0.008,180,0
48,1,48,191.665,222.945,14100.525,2,9,397.993,339.825,NA,6.359,0.021,-116.565,63.435
49,1,49,191.665,210.433,14400.536,2,8,410.505,352.219,NA,12.512,0.042,-90,26.565
50,1,50,195.646,197.921,14700.547,2,39,423.635,364.125,NA,13.13,0.044,-72.35,17.65
51,1,51,196.783,189.39,15000.558,2,20,432.242,372.466,NA,8.607,0.029,-82.405,-10.055
52,1,52,196.783,179.721,15300.57,2,45,441.91,382.074,NA,9.669,0.032,-90,-7.595
53,1,53,196.783,179.721,15600.581,2,26,441.91,382.074,NA,0,0,0,90
54,1,54,193.371,179.721,15900.592,2,29,445.323,382.466,NA,3.412,0.011,180,180
55,1,55,193.371,185.977,16200.603,2,12,451.579,376.256,NA,6.256,0.021,90,-90
56,1,56,204.746,195.077,16500.614,2,22,466.146,365.984,NA,14.567,0.049,38.66,-51.34
57,1,57,212.139,192.234,16800.625,2,39,474.067,368.201,NA,7.922,0.026,-21.038,-59.697
58,1,58,212.708,183.702,17100.637,2,121,482.617,376.669,NA,8.55,0.028,-86.186,-65.148
59,1,59,212.708,169.484,17400.648,2,42,496.836,390.854,NA,14.218,0.047,-90,-3.814
60,1,60,221.239,166.64,17700.659,2,38,505.828,393.213,NA,8.993,0.03,-18.435,71.565
61,1,61,222.377,160.953,18000.67,2,60,511.628,398.845,NA,5.8,0.019,-78.69,-60.255
62,1,62,238.301,161.522,18300.681,2,58,527.563,397.928,NA,15.935,0.053,2.045,80.735
63,1,63,238.301,156.403,18600.693,2,48,532.682,403.047,NA,5.119,0.017,-90,-92.045
64,1,64,243.42,153.559,18900.704,2,40,538.537,405.913,NA,5.856,0.02,-29.055,60.945
65,1,65,251.382,148.441,19200.715,2,51,548.003,411.193,NA,9.466,0.032,-32.735,-3.681
66,1,66,249.107,157.541,19500.726,2,54,557.383,402.034,NA,9.38,0.031,104.036,136.771
67,1,67,248.539,157.541,19800.737,2,56,557.952,402.02,NA,0.569,0.002,180,75.964
68,1,68,242.851,152.991,20100.748,2,42,565.235,406.476,NA,7.283,0.024,-141.34,38.66
69,1,69,241.145,142.753,20400.76,2,38,575.613,416.701,NA,10.378,0.035,-99.462,41.878
70,1,70,241.145,136.497,20700.771,2,25,581.87,422.957,NA,6.256,0.021,-90,9.462
71,1,71,235.458,118.866,21000.782,2,31,600.395,440.597,NA,18.526,0.062,-107.879,-17.879
72,1,72,228.064,112.61,21300.793,2,25,610.08,446.974,NA,9.685,0.032,-139.764,-31.885
73,1,73,220.67,123.416,21600.804,2,48,623.174,436.42,NA,13.093,0.044,124.38,-95.856
74,1,74,220.67,133.653,21900.815,2,44,633.411,426.192,NA,10.237,0.034,90,-34.38
75,1,75,222.945,145.028,22200.827,2,58,645.011,414.734,NA,11.6,0.039,78.69,-11.31
76,1,76,224.652,154.697,22500.838,2,36,654.829,405.008,NA,9.818,0.033,79.992,1.302
77,1,77,237.733,148.441,22800.849,2,38,669.329,411.01,NA,14.5,0.048,-25.56,-105.552
78,1,78,240.576,148.441,23100.86,2,25,672.173,411.011,NA,2.844,0.009,0,25.56
79,1,79,259.913,154.128,23400.871,2,27,692.329,405.857,NA,20.156,0.067,16.39,16.39
80,1,80,261.051,149.578,23700.882,2,104,697.019,410.46,NA,4.69,0.016,-75.964,-92.353
81,1,81,259.913,146.166,24000.894,2,36,700.616,413.809,NA,3.597,0.012,-108.435,-32.471
82,1,82,248.539,138.203,24300.905,2,41,714.5,421.352,NA,13.885,0.046,-145.008,-36.573
83,1,83,247.401,132.516,24600.916,2,55,720.3,427.014,NA,5.8,0.019,-101.31,43.698
84,2,1,195.456,574.994,900.034,2,17,0,0,NA,NA,NA,NA,NA
85,2,2,199.248,573.478,1200.045,2,27,4.084,4.084,NA,4.084,0.014,-21.801,NA
86,2,3,199.248,573.478,1500.056,2,15,4.084,4.084,NA,0,0,0,21.801
87,2,4,199.248,563.62,1800.067,2,16,13.942,11.99,NA,9.858,0.033,-90,-90
88,2,5,193.181,557.553,2100.078,2,10,22.521,17.589,NA,8.579,0.029,-135,-45
89,2,6,186.357,549.97,2400.089,2,31,32.723,26.628,NA,10.202,0.034,-131.987,3.013
90,2,7,190.906,546.937,2700.101,2,18,38.192,28.424,NA,5.468,0.018,-33.69,98.297
91,2,8,192.802,546.937,3000.112,2,27,40.087,28.183,NA,1.896,0.006,0,33.69
92,2,9,192.802,542.387,3300.123,2,33,44.637,32.715,NA,4.55,0.015,-90,-90
93,2,10,192.802,535.562,3600.134,2,27,51.462,39.522,NA,6.825,0.023,-90,0
94,2,11,193.181,516.983,3900.145,2,24,70.045,58.056,NA,18.583,0.062,-88.831,1.169
95,2,12,200.765,515.087,4200.156,2,34,77.861,60.142,NA,7.817,0.026,-14.036,74.795
96,2,13,204.556,514.329,4500.168,2,19,81.728,61.344,NA,3.867,0.013,-11.31,2.726
97,2,14,220.86,511.296,4800.179,2,33,98.312,68.577,NA,16.584,0.055,-10.539,0.771
98,2,15,218.206,489.684,5100.19,2,15,120.086,88.292,NA,21.774,0.073,-97.001,-86.462
99,2,16,251.572,474.138,5400.201,2,17,156.896,115.416,NA,36.81,0.123,-24.981,72.02
100,2,17,256.122,453.664,5700.212,2,14,177.87,135.652,NA,20.974,0.07,-77.471,-52.49
101,2,18,264.842,421.814,6000.223,2,10,210.891,168.162,NA,33.022,0.11,-74.687,2.784
102,2,19,269.013,404.373,6300.235,2,50,228.824,185.802,NA,17.933,0.06,-76.551,-1.864
103,2,20,278.113,394.704,6600.246,2,36,242.102,198.335,NA,13.277,0.044,-46.736,29.816
104,2,21,280.388,412.335,6900.257,2,24,259.879,183.498,NA,17.777,0.059,82.648,129.383
105,2,22,284.369,405.51,7200.268,2,15,267.78,191.39,NA,7.901,0.026,-59.744,-142.391
106,2,23,284.369,399.823,7500.279,2,26,273.467,196.445,NA,5.687,0.019,-90,-30.256
107,2,24,292.331,398.686,7800.29,2,17,281.511,201.171,NA,8.043,0.027,-8.13,81.87
108,2,25,302,387.311,8100.302,2,15,296.439,215.816,NA,14.929,0.05,-49.635,-41.505
109,2,26,314.512,373.092,8400.313,2,13,315.379,234.39,NA,18.94,0.063,-48.652,0.983
110,2,27,314.512,360.011,8700.324,2,22,328.46,245.748,NA,13.081,0.044,-90,-41.348
111,2,28,317.925,317.356,9000.335,2,14,371.252,285.265,NA,42.792,0.143,-85.426,4.574
112,2,29,318.493,294.606,9300.346,2,15,394.008,306.195,NA,22.757,0.076,-88.568,-3.142
113,2,30,334.418,271.288,9600.357,2,18,422.246,333.988,NA,28.237,0.094,-55.67,32.898
114,2,31,342.38,248.539,9900.369,2,26,446.348,357.994,NA,24.103,0.08,-70.71,-15.04
115,2,32,342.38,248.539,10200.38,2,16,446.348,357.994,NA,0,0,0,70.71
116,2,33,331.006,245.695,10500.391,2,29,458.073,356.106,NA,11.725,0.039,-165.964,-165.964
117,2,34,328.162,241.714,10800.402,2,20,462.966,358.729,NA,4.892,0.016,-125.538,40.426
118,2,35,331.574,237.733,11100.413,2,18,468.209,363.694,NA,5.244,0.017,-49.399,76.139
119,2,36,341.243,230.339,11400.424,2,15,480.381,374.221,NA,12.172,0.041,-37.405,11.993
120,2,37,341.243,230.908,11700.436,2,13,480.949,373.697,NA,0.569,0.002,90,127.405
121,2,38,329.299,230.908,12000.447,2,17,492.893,369.201,NA,11.944,0.04,180,90
122,2,39,358.874,203.04,12300.458,2,16,533.529,406.27,NA,40.636,0.135,-43.299,136.701
123,2,40,385.036,176.878,12600.469,2,33,570.527,440.95,NA,36.999,0.123,-45,-1.701
124,2,41,385.036,166.64,12900.48,2,6,580.765,450.215,NA,10.237,0.034,-90,-45
125,2,42,409.681,145.028,13200.491,2,15,613.544,480.378,NA,32.779,0.109,-41.248,48.752
126,2,43,412.335,135.17,13500.503,2,13,623.753,490.389,NA,10.209,0.034,-74.932,-33.683
127,3,1,383.519,567.032,3000.112,2,50,0,0,NA,NA,NA,NA,NA
128,3,2,383.519,564.757,3300.123,2,25,2.275,2.275,NA,2.275,0.008,-90,NA
129,3,3,377.832,558.691,3600.134,2,25,10.591,10.096,NA,8.316,0.028,-133.152,-43.152
130,3,4,371.386,550.728,3900.145,2,74,20.835,20.323,NA,10.244,0.034,-128.991,4.161
131,3,5,366.836,544.283,4200.156,2,29,28.725,28.211,NA,7.89,0.026,-125.218,3.773
132,3,6,364.94,544.283,4500.168,2,48,30.62,29.372,NA,1.896,0.006,180,-54.782
133,3,7,348.637,541.628,4800.179,2,17,47.139,43.153,NA,16.518,0.055,-170.754,9.246
134,3,8,336.124,531.77,5100.19,2,32,63.068,59.073,NA,15.929,0.053,-141.766,28.988
