Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,438.118,375.936,1500.056,2,25,0,0,NA,NA,NA,NA,NA
2,1,2,435.464,370.628,1800.067,2,14,5.935,5.935,NA,5.935,0.02,-116.565,NA
3,1,3,434.706,370.628,2100.078,2,23,6.693,6.31,NA,0.758,0.003,180,-63.435
4,1,4,434.706,370.628,2400.09,2,50,6.693,6.31,NA,0,0,0,-180
5,1,5,434.706,370.628,2700.101,2,36,6.693,6.31,NA,0,0,0,0
6,1,6,430.914,369.111,3000.112,2,21,10.777,9.924,NA,4.084,0.014,-158.199,-158.199
7,1,7,426.364,366.457,3300.123,2,26,16.044,15.1,NA,5.267,0.018,-149.744,8.455
8,1,8,424.468,363.045,3600.134,2,13,19.948,18.775,NA,3.904,0.013,-119.055,30.689
9,1,9,416.506,353.186,3900.146,2,22,32.62,31.379,NA,12.672,0.042,-128.928,-9.873
10,1,10,411.956,352.049,4200.157,2,8,37.31,35.427,NA,4.69,0.016,-165.964,-37.036
11,1,11,402.098,335.745,4500.168,2,25,56.362,53.97,NA,19.052,0.064,-121.159,44.804
12,1,12,397.548,338.778,4800.179,2,15,61.831,55.015,NA,5.468,0.018,146.31,-92.531
13,1,13,390.344,341.812,5100.19,2,19,69.647,58.71,NA,7.817,0.026,157.166,10.856
14,1,14,390.344,341.812,5400.202,2,12,69.647,58.71,NA,0,0,0,-157.166
15,1,15,387.69,332.333,5700.213,2,17,79.491,66.665,NA,9.844,0.033,-105.642,-105.642
16,1,16,379.728,331.954,6000.224,2,13,87.462,73.102,NA,7.971,0.027,-177.274,-71.631
17,1,17,375.557,313.375,6300.235,2,17,106.503,88.475,NA,19.041,0.063,-102.653,74.621
18,1,18,371.386,311.479,6600.246,2,12,111.085,92.779,NA,4.581,0.015,-155.556,-52.903
19,1,19,364.561,309.583,6900.258,2,12,118.168,99.062,NA,7.083,0.024,-164.476,-8.92
20,1,20,366.078,302.379,7200.269,2,10,125.53,102.958,NA,7.362,0.025,-78.111,86.365
21,1,21,369.49,296.692,7500.28,2,15,132.162,104.83,NA,6.633,0.022,-59.036,19.075
22,1,22,369.111,293.659,7800.291,2,29,135.219,107.385,NA,3.057,0.01,-97.125,-38.089
23,1,23,367.974,286.834,8100.302,2,51,142.138,113.4,NA,6.919,0.023,-99.462,-2.337
24,1,24,363.424,278.871,8400.314,2,35,151.309,122.478,NA,9.171,0.031,-119.745,-20.283
25,1,25,358.116,272.046,8700.325,2,16,159.955,131.124,NA,8.646,0.029,-127.875,-8.13
26,1,26,356.22,269.013,9000.336,2,55,163.532,134.684,NA,3.577,0.012,-122.005,5.87
27,1,27,350.532,269.013,9300.347,2,47,169.22,138.216,NA,5.687,0.019,180,-57.995
28,1,28,343.328,269.013,9600.358,2,33,176.424,142.89,NA,7.204,0.024,180,0
29,1,29,336.124,265.222,9900.37,2,19,184.564,150.534,NA,8.141,0.027,-152.241,27.759
30,1,30,331.195,264.842,10200.381,2,22,189.508,154.189,NA,4.944,0.016,-175.601,-23.36
31,1,31,325.887,260.293,10500.392,2,29,196.499,161.15,NA,6.991,0.023,-139.399,36.203
32,1,32,315.65,257.638,10800.403,2,25,207.075,170.273,NA,10.576,0.035,-165.466,-26.067
33,1,33,309.583,256.88,11100.414,2,21,213.189,175.201,NA,6.114,0.02,-172.875,-7.409
34,1,34,299.725,250.814,11400.426,2,14,224.764,186.57,NA,11.575,0.039,-148.392,24.482
35,1,35,292.9,242.472,11700.437,2,6,235.542,197.233,NA,10.778,0.036,-129.289,19.103
36,1,36,286.455,227.685,12000.448,2,19,251.673,212.085,NA,16.131,0.054,-113.552,15.737
37,1,37,280.767,225.031,12300.459,2,20,257.949,218.018,NA,6.276,0.021,-154.983,-41.431
38,1,38,277.355,223.893,12600.47,2,11,261.546,221.273,NA,3.597,0.012,-161.565,-6.582
39,1,39,276.596,214.793,12900.482,2,8,270.677,228.158,NA,9.131,0.03,-94.764,66.801
40,1,40,268.634,200.765,13200.493,2,18,286.808,243.741,NA,16.131,0.054,-119.578,-24.814
41,1,41,264.463,199.627,13500.504,2,49,291.131,247.469,NA,4.323,0.014,-164.745,-45.167
42,1,42,262.568,197.731,13800.515,2,45,293.812,250.15,NA,2.681,0.009,-135,29.745
43,1,43,251.572,197.731,14100.526,2,10,304.808,257.985,NA,10.996,0.037,180,-45
44,1,44,255.743,179.153,14400.538,2,13,323.849,268.299,NA,19.041,0.063,-77.347,102.653
45,1,45,251.951,178.015,14700.549,2,8,327.808,271.718,NA,3.959,0.013,-163.301,-85.953
46,1,46,239.439,171.569,15000.56,2,11,341.883,285.025,NA,14.075,0.047,-152.745,10.556
47,1,47,234.889,161.711,15300.571,2,9,352.74,295.287,NA,10.857,0.036,-114.775,37.97
48,1,48,226.927,154.128,15600.582,2,15,363.736,306.269,NA,10.996,0.037,-136.397,-21.622
49,1,49,222.377,150.716,15900.594,2,20,369.423,311.879,NA,5.687,0.019,-143.13,-6.733
50,1,50,222.377,141.995,16200.605,2,10,378.144,318.234,NA,8.721,0.029,-90,53.13
51,1,51,222.377,138.203,16500.616,2,7,381.935,321.031,NA,3.792,0.013,-90,0
