Nr,TID,PID,x [micron],y [micron],t [sec],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
327,10,20,219.533,61.992,58802.117,23,170.162,115.609,NA,25.7,0.086,65.136,-11.192
328,10,21,228.633,76.78,59102.128,15,187.525,130.275,NA,17.363,0.058,58.392,-6.744
329,10,22,237.164,76.211,59402.139,20,196.075,137.604,NA,8.55,0.028,-3.814,-62.207
330,10,23,243.42,85.879,59702.15,12,207.591,147.609,NA,11.516,0.038,57.095,60.909
331,10,26,263.326,98.392,60002.161,17,231.103,171.081,NA,23.512,0.078,32.152,-24.942
332,11,1,343.518,201.333,56102.02,11,0,0,NA,NA,NA,NA,NA
333,11,2,352.618,201.333,56402.031,13,9.1,9.1,NA,9.1,0.03,0,NA
334,11,3,353.755,201.333,56702.042,9,10.237,10.237,NA,1.137,0.004,0,0
335,11,4,366.267,201.333,57002.053,17,22.75,22.75,NA,12.512,0.042,0,0
336,11,5,378.78,216.121,57302.063,11,42.12,38.237,NA,19.371,0.065,49.764,49.764
337,11,6,378.78,226.358,57602.074,13,52.357,43.239,NA,10.237,0.034,90,40.236
338,11,7,378.78,226.358,57902.085,18,52.357,43.239,NA,0,0,0,-90
339,11,8,378.78,238.87,58202.096,27,64.87,51.501,NA,12.512,0.042,90,90
340,11,9,392.429,254.795,58502.107,19,85.844,72.46,NA,20.974,0.07,49.399,-40.601
341,11,10,395.842,260.482,58802.117,11,92.476,78.971,NA,6.633,0.022,59.036,9.638
342,11,11,416.316,263.895,59102.128,20,113.233,95.987,NA,20.757,0.069,9.462,-49.574
343,11,12,426.554,263.895,59402.139,12,123.47,103.966,NA,10.237,0.034,0,-9.462
344,11,13,426.554,263.895,59702.15,17,123.47,103.966,NA,0,0,0,0
345,11,15,440.014,272.046,60002.161,25,139.207,119.632,NA,15.736,0.052,31.201,31.201
346,12,1,304.275,216.689,56702.042,9,0,0,NA,NA,NA,NA,NA
347,12,2,306.55,230.339,57002.053,13,13.838,13.838,NA,13.838,0.046,80.538,NA
348,12,3,311.1,233.372,57302.063,14,19.306,18.025,NA,5.468,0.018,33.69,-46.848
349,12,4,319.441,252.33,57602.074,6,40.018,38.734,NA,20.712,0.069,66.251,32.56
350,12,5,339.158,289.488,57902.085,15,82.083,80.724,NA,42.064,0.14,62.049,-4.201
351,12,6,339.158,302.379,58202.096,29,94.974,92.518,NA,12.891,0.043,90,27.951
352,12,7,339.158,302.379,58502.107,10,94.974,92.518,NA,0,0,0,-90
353,12,8,345.224,326.645,58802.117,9,119.987,117.334,NA,25.013,0.083,75.964,75.964
354,12,9,345.224,344.087,59102.128,30,137.428,133.817,NA,17.441,0.058,90,14.036
355,12,10,345.224,372.903,59402.139,10,166.244,161.491,NA,28.816,0.096,90,0
356,12,11,351.291,385.036,59702.15,17,179.81,174.789,NA,13.565,0.045,63.435,-26.565
357,12,13,360.39,415.369,60002.161,14,211.478,206.452,NA,31.668,0.106,73.301,9.866
358,13,1,54.599,246.832,50101.804,12,0,0,NA,NA,NA,NA,NA
359,13,2,65.974,246.832,50401.815,15,11.375,11.375,NA,11.375,0.038,0,NA
360,13,3,85.311,246.832,50701.826,10,30.712,30.712,NA,19.337,0.064,0,0
361,13,4,96.686,246.832,51001.837,5,42.087,42.087,NA,11.375,0.038,0,0
362,13,5,138.772,228.633,51301.847,13,87.94,86.118,NA,45.853,0.153,-23.385,-23.385
363,13,6,149.009,228.633,51601.858,34,98.177,96.149,NA,10.237,0.034,0,23.385
364,13,7,159.247,228.633,51901.869,10,108.414,106.219,NA,10.237,0.034,0,0
365,13,8,199.058,233.183,52201.88,10,148.485,145.103,NA,40.071,0.134,6.52,6.52
366,13,9,218.395,234.32,52501.891,10,167.856,164.274,NA,19.371,0.065,3.366,-3.153
367,13,10,234.32,255.932,52801.901,27,194.701,179.952,NA,26.845,0.089,53.616,50.249
368,13,11,238.87,265.032,53101.912,7,204.875,185.168,NA,10.174,0.034,63.435,9.819
369,13,12,249.107,282.094,53401.923,13,224.773,197.679,NA,19.898,0.066,59.036,-4.399
370,13,13,280.957,309.394,53701.934,9,266.721,234.844,NA,41.948,0.14,40.601,-18.435
371,13,14,288.919,310.531,54001.945,10,274.764,242.824,NA,8.043,0.027,8.13,-32.471
372,13,15,298.019,316.218,54301.955,13,285.495,253.116,NA,10.731,0.036,32.005,23.875
373,13,16,308.256,325.318,54601.966,14,299.192,265.522,NA,13.697,0.046,41.634,9.628
374,13,17,312.806,338.968,54901.977,14,313.58,274.153,NA,14.388,0.048,71.565,29.932
375,13,18,326.456,343.518,55201.988,8,327.968,288.538,NA,14.388,0.048,18.435,-53.13
376,14,1,19.337,241.145,48601.75,6,0,0,NA,NA,NA,NA,NA
377,14,2,23.887,235.458,48901.761,12,7.283,7.283,NA,7.283,0.024,-51.34,NA
378,14,3,29.574,230.908,49201.772,22,14.567,14.478,NA,7.283,0.024,-38.66,12.68
379,14,4,32.987,229.77,49501.783,22,18.164,17.768,NA,3.597,0.012,-18.435,20.225
380,14,5,36.399,229.77,49801.793,18,21.576,20.506,NA,3.412,0.011,0,18.435
381,14,6,44.362,228.633,50101.804,9,29.619,27.978,NA,8.043,0.027,-8.13,-8.13
382,14,7,47.774,224.083,50401.815,24,35.307,33.163,NA,5.687,0.019,-53.13,-45
383,14,8,47.774,224.083,50701.826,14,35.307,33.163,NA,0,0,0,53.13
384,14,9,58.011,224.083,51001.837,6,45.544,42.271,NA,10.237,0.034,0,0
385,14,10,54.599,224.083,51301.847,14,48.957,39.173,NA,3.412,0.011,180,180
386,14,11,54.599,224.083,51601.858,13,48.957,39.173,NA,0,0,0,-180
387,14,12,50.049,224.083,51901.869,32,53.506,35.133,NA,4.55,0.015,180,180
388,14,13,50.049,221.808,52201.88,10,55.781,36.292,NA,2.275,0.008,-90,90
389,14,14,50.049,221.808,52501.891,18,55.781,36.292,NA,0,0,0,90
390,14,15,64.836,221.808,52801.901,11,70.569,49.438,NA,14.787,0.049,0,0
391,14,16,69.386,238.87,53101.912,11,88.227,50.101,NA,17.658,0.059,75.069,75.069
392,14,17,95.548,238.87,53401.923,11,114.389,76.245,NA,26.162,0.087,0,-75.069
393,14,18,108.06,229.77,53701.934,8,129.86,89.449,NA,15.471,0.052,-36.027,-36.027
394,14,19,152.422,233.183,54001.945,13,174.353,133.323,NA,44.493,0.148,4.399,40.426
395,14,20,177.446,233.183,54301.955,17,199.377,158.31,NA,25.024,0.083,0,-4.399
396,14,21,177.446,237.733,54601.966,21,203.927,158.146,NA,4.55,0.015,90,90
397,14,22,172.896,242.283,54901.977,12,210.362,153.564,NA,6.435,0.021,135,45
398,14,23,171.759,255.932,55201.988,7,224.059,153.137,NA,13.697,0.046,94.764,-40.236
399,14,24,171.759,269.582,55501.999,10,237.709,155.052,NA,13.65,0.045,90,-4.764
400,14,25,171.759,277.544,55802.009,9,245.671,156.708,NA,7.962,0.027,90,0
401,14,26,171.759,277.544,56102.02,11,245.671,156.708,NA,0,0,0,-90
402,14,27,166.072,277.544,56402.031,21,251.358,151.182,NA,5.687,0.019,180,180
403,14,28,118.298,288.919,56702.042,11,300.468,109.889,NA,49.109,0.164,166.608,-13.392
404,14,29,119.435,296.881,57002.053,8,308.511,114.569,NA,8.043,0.027,81.87,-84.738
405,14,30,135.36,307.119,57302.063,13,327.442,133.468,NA,18.931,0.063,32.735,-49.135
406,14,31,147.872,310.531,57602.074,13,340.412,146.067,NA,12.969,0.043,15.255,-17.48
407,14,32,155.834,312.806,57902.085,9,348.693,154.165,NA,8.281,0.028,15.945,0.69
408,14,33,158.109,319.631,58202.096,13,355.887,159.429,NA,7.194,0.024,71.565,55.62
409,14,34,164.934,319.631,58502.107,16,362.711,165.404,NA,6.825,0.023,0,-71.565
410,14,35,175.171,327.593,58802.117,13,375.681,178.207,NA,12.969,0.043,37.875,37.875
411,14,36,180.859,340.105,59102.128,20,389.425,189.427,NA,13.744,0.046,65.556,27.681
412,14,37,189.959,348.068,59402.139,13,401.516,201.356,NA,12.092,0.04,41.186,-24.37
413,14,38,216.121,393.567,59702.15,9,454.001,248.91,NA,52.484,0.175,60.101,18.915
414,14,40,218.395,409.492,60002.161,16,470.087,260.701,NA,16.086,0.054,81.87,21.769
415,15,1,14.787,345.793,49801.793,7,0,0,NA,NA,NA,NA,NA
416,15,2,32.987,345.793,50101.804,7,18.2,18.2,NA,18.2,0.061,0,NA
417,15,3,43.224,345.793,50401.815,17,28.437,28.437,NA,10.237,0.034,0,0
418,15,4,54.599,345.793,50701.826,6,39.812,39.812,NA,11.375,0.038,0,0
419,15,5,54.599,378.78,51001.837,12,72.798,51.702,NA,32.987,0.11,90,90
420,15,6,67.111,401.529,51301.847,8,98.762,76.448,NA,25.963,0.087,61.189,-28.811
421,15,7,92.136,415.179,51601.858,11,127.267,103.91,NA,28.505,0.095,28.61,-32.579
422,15,8,118.298,427.691,51901.869,25,156.267,131.991,NA,29,0.097,25.56,-3.05
423,15,9,131.947,445.891,52201.88,13,179.017,154.098,NA,22.75,0.076,53.13,27.57
424,15,10,156.972,445.891,52501.891,15,204.041,173.885,NA,25.024,0.083,0,-53.13
425,15,11,156.972,445.891,52801.901,9,204.041,173.885,NA,0,0,0,0
426,16,1,34.124,268.444,50401.815,9,0,0,NA,NA,NA,NA,NA
427,16,2,40.949,268.444,50701.826,7,6.825,6.825,NA,6.825,0.023,0,NA
428,16,3,39.812,279.819,51001.837,13,18.256,12.717,NA,11.431,0.038,95.711,95.711
429,16,4,29.574,278.682,51301.847,16,28.557,11.203,NA,10.3,0.034,-173.66,90.63
430,16,5,28.437,279.819,51601.858,8,30.165,12.717,NA,1.609,0.005,135,-51.34
431,16,6,37.537,295.744,51901.869,7,48.507,27.512,NA,18.341,0.061,60.255,-74.745
432,16,7,53.461,302.569,52201.88,20,65.832,39.222,NA,17.326,0.058,23.199,-37.057
433,16,8,72.798,321.906,52501.891,52,93.179,65.983,NA,27.347,0.091,45,21.801
434,16,9,81.898,321.906,52801.901,30,102.279,71.697,NA,9.1,0.03,0,-45
435,16,10,92.136,321.906,53101.912,10,112.516,78.889,NA,10.237,0.034,0,0
436,16,11,126.26,354.893,53401.923,18,159.977,126.342,NA,47.462,0.158,44.029,44.029
437,16,12,137.635,366.267,53701.934,14,176.064,142.421,NA,16.086,0.054,45,0.971
438,16,13,137.635,366.267,54001.945,8,176.064,142.421,NA,0,0,0,-45
439,17,1,326.456,439.066,54001.945,11,0,0,NA,NA,NA,NA,NA
440,17,2,342.38,439.066,54301.955,9,15.925,15.925,NA,15.925,0.053,0,NA
441,17,3,361.718,439.066,54601.966,16,35.262,35.262,NA,19.337,0.064,0,0
442,17,4,373.092,439.066,54901.977,23,46.637,46.637,NA,11.375,0.038,0,0
443,17,5,383.33,441.341,55201.988,15,57.124,56.919,NA,10.487,0.035,12.529,12.529
444,17,6,407.217,445.891,55501.999,16,81.44,81.049,NA,24.316,0.081,10.784,-1.745
445,17,7,433.379,481.153,55802.009,12,125.347,114.908,NA,43.907,0.146,53.427,42.643
446,17,8,443.616,486.84,56102.02,13,137.058,126.526,NA,11.711,0.039,29.055,-24.372
447,17,9,476.603,492.527,56402.031,41,170.532,159.381,NA,33.474,0.112,9.782,-19.272
448,17,10,495.94,492.527,56702.042,23,189.869,177.716,NA,19.337,0.064,0,-9.782
449,17,11,538.026,505.04,57002.053,13,233.776,221.618,NA,43.907,0.146,16.557,16.557
450,17,12,549.401,516.414,57302.063,12,249.862,235.982,NA,16.086,0.054,45,28.443
451,17,13,560.776,516.414,57602.074,9,261.237,246.756,NA,11.375,0.038,0,-45
452,18,1,296.881,311.669,51301.847,8,0,0,NA,NA,NA,NA,NA
453,18,2,303.706,320.768,51601.858,9,11.375,11.375,NA,11.375,0.038,53.13,NA
454,18,3,309.394,320.768,51901.869,11,17.062,15.471,NA,5.687,0.019,0,-53.13
455,18,4,318.493,335.556,52201.88,19,34.425,32.213,NA,17.363,0.058,58.392,58.392
456,18,5,321.906,340.105,52501.891,12,40.112,37.88,NA,5.687,0.019,53.13,-5.262
457,18,6,328.731,345.793,52801.901,18,48.996,46.678,NA,8.884,0.03,39.806,-13.325
458,18,7,341.243,365.13,53101.912,16,72.028,69.47,NA,23.032,0.077,57.095,17.289
459,18,8,341.243,365.13,53401.923,12,72.028,69.47,NA,0,0,0,-57.095
460,18,9,348.068,365.13,53701.934,24,78.853,74.015,NA,6.825,0.023,0,0
461,18,10,348.068,365.13,54001.945,17,78.853,74.015,NA,0,0,0,0
462,18,11,356.03,369.68,54301.955,13,88.024,82.849,NA,9.171,0.031,29.745,29.745
463,18,12,370.817,383.33,54601.966,5,108.148,102.965,NA,20.124,0.067,42.709,12.965
464,18,13,378.78,392.429,54901.977,13,120.24,115.02,NA,12.092,0.04,48.814,6.105
465,18,14,378.78,399.254,55201.988,23,127.064,119.911,NA,6.825,0.023,90,41.186
466,18,15,378.78,399.254,55501.999,24,127.064,119.911,NA,0,0,0,-90
467,18,16,391.292,399.254,55802.009,20,139.577,128.781,NA,12.512,0.042,0,0
468,18,17,391.292,399.254,56102.02,12,139.577,128.781,NA,0,0,0,0
469,18,18,373.092,434.516,56402.031,15,179.258,144.567,NA,39.681,0.132,117.3,117.3
470,18,19,382.192,442.478,56702.042,7,191.35,156.17,NA,12.092,0.04,41.186,-76.114
471,18,20,398.117,442.478,57002.053,20,207.274,165.408,NA,15.925,0.053,0,-41.186
472,18,21,412.904,442.478,57302.063,9,222.062,174.85,NA,14.787,0.049,0,0
473,18,22,437.928,469.778,57602.074,21,259.095,211.879,NA,37.034,0.123,47.49,47.49
474,18,23,444.753,478.878,57902.085,21,270.47,223.215,NA,11.375,0.038,53.13,5.641
475,18,24,465.228,500.49,58202.096,10,300.24,252.97,NA,29.771,0.099,46.548,-6.582
476,18,25,489.115,497.077,58502.107,12,324.37,267.077,NA,24.13,0.08,-8.13,-54.678
477,18,26,513.002,501.627,58802.117,14,348.686,287.737,NA,24.316,0.081,10.784,18.914
478,18,27,525.514,501.627,59102.128,13,361.199,297.249,NA,12.512,0.042,0,-10.784
479,18,28,544.851,513.002,59402.139,14,383.633,319.412,NA,22.435,0.075,30.466,30.466
480,19,1,18.2,14.787,56402.031,47,0,0,NA,NA,NA,NA,NA
481,19,2,40.949,14.787,56702.042,19,22.75,22.75,NA,22.75,0.076,0,NA
482,19,3,48.911,14.787,57002.053,24,30.712,30.712,NA,7.962,0.027,0,0
483,19,4,64.836,28.437,57302.063,32,51.686,48.593,NA,20.974,0.07,40.601,40.601
484,19,5,71.661,42.087,57602.074,13,66.947,60.028,NA,15.261,0.051,63.435,22.834
485,19,6,76.211,62.561,57902.085,13,87.921,75.151,NA,20.974,0.07,77.471,14.036
486,19,7,76.211,75.073,58202.096,19,100.433,83.664,NA,12.512,0.042,90,12.529
487,19,8,76.211,88.723,58502.107,15,114.083,93.978,NA,13.65,0.045,90,0
488,19,9,89.861,104.648,58802.117,17,135.057,114.936,NA,20.974,0.07,49.399,-40.601
489,19,10,94.411,104.648,59102.128,6,139.607,117.826,NA,4.55,0.015,0,-49.399
490,19,11,94.411,125.122,59402.139,13,160.081,134.097,NA,20.475,0.068,90,90
491,19,12,101.235,168.347,59702.15,15,203.841,174.572,NA,43.76,0.146,81.027,-8.973
492,19,14,94.411,187.684,60002.161,8,224.347,188.948,NA,20.506,0.068,109.44,28.413
493,20,1,5.687,166.072,52501.891,16,0,0,NA,NA,NA,NA,NA
494,20,2,18.2,170.621,52801.901,25,13.314,13.314,NA,13.314,0.044,19.983,NA
495,20,3,23.887,172.896,53101.912,16,19.439,19.437,NA,6.125,0.02,21.801,1.818
496,20,4,23.887,192.234,53401.923,16,38.776,31.87,NA,19.337,0.064,90,68.199
497,20,5,23.887,192.234,53701.934,13,38.776,31.87,NA,0,0,0,-90
498,20,6,28.437,192.234,54001.945,35,43.326,34.67,NA,4.55,0.015,0,0
499,20,7,28.437,199.058,54301.955,17,50.151,40.071,NA,6.825,0.023,90,90
500,20,8,28.437,199.058,54601.966,17,50.151,40.071,NA,0,0,0,-90
501,20,9,28.437,199.058,54901.977,14,50.151,40.071,NA,0,0,0,0
502,20,10,28.437,211.571,55201.988,10,62.663,50.869,NA,12.512,0.042,90,90
503,20,11,29.574,210.433,55501.999,13,64.272,50.384,NA,1.609,0.005,-45,-135
504,20,12,35.262,210.433,55802.009,13,69.959,53.316,NA,5.687,0.019,0,45
505,20,13,35.262,210.433,56102.02,24,69.959,53.316,NA,0,0,0,0
506,20,14,44.362,217.258,56402.031,14,81.334,64.154,NA,11.375,0.038,36.87,36.87
507,20,15,58.011,217.258,56702.042,15,94.984,73.197,NA,13.65,0.045,0,-36.87
508,20,16,120.573,219.533,57002.053,12,157.586,126.715,NA,62.603,0.209,2.083,2.083
509,20,17,144.46,219.533,57302.063,11,181.473,148.714,NA,23.887,0.08,0,-2.083
510,20,18,144.46,219.533,57602.074,8,181.473,148.714,NA,0,0,0,0
511,20,19,156.972,226.358,57902.085,6,195.726,162.854,NA,14.253,0.048,28.61,28.61
512,20,20,191.096,226.358,58202.096,14,229.85,194.964,NA,34.124,0.114,0,-28.61
513,20,21,212.708,226.358,58502.107,9,251.462,215.62,NA,21.612,0.072,0,0
514,20,22,226.358,224.083,58802.117,20,265.3,228.168,NA,13.838,0.046,-9.462,-9.462
515,20,23,236.595,221.808,59102.128,13,275.787,237.539,NA,10.487,0.035,-12.529,-3.066
516,20,24,249.107,216.121,59402.139,8,289.532,248.512,NA,13.744,0.046,-24.444,-11.915
517,20,25,290.057,218.395,59702.15,9,330.544,289.143,NA,41.012,0.137,3.18,27.624
518,20,26,305.981,225.22,60002.161,25,347.869,306.064,NA,17.326,0.058,23.199,20.019
519,21,1,383.33,10.237,54301.955,19,0,0,NA,NA,NA,NA,NA
520,21,2,385.605,13.65,54601.966,16,4.101,4.101,NA,4.101,0.014,56.31,NA
521,21,3,392.429,13.65,54901.977,9,10.926,9.719,NA,6.825,0.023,0,-56.31
522,21,4,395.842,27.299,55201.988,36,24.996,21.158,NA,14.07,0.047,75.964,75.964
523,21,5,395.842,36.399,55501.999,12,34.096,29,NA,9.1,0.03,90,14.036
524,21,6,401.529,39.812,55802.009,15,40.728,34.726,NA,6.633,0.022,30.964,-59.036
525,21,7,407.217,39.812,56102.02,11,46.416,38.016,NA,5.687,0.019,0,-30.964
526,21,8,424.279,59.149,56402.031,11,72.204,63.79,NA,25.788,0.086,48.576,48.576
527,21,9,424.279,69.386,56702.042,9,82.441,71.94,NA,10.237,0.034,90,41.424
528,21,10,428.829,69.386,57002.053,16,86.991,74.624,NA,4.55,0.015,0,-90
529,21,11,428.829,69.386,57302.063,15,86.991,74.624,NA,0,0,0,0
530,21,12,410.629,83.036,57602.074,31,109.741,77.749,NA,22.75,0.076,143.13,143.13
531,21,13,410.629,97.823,57902.085,14,124.528,91.742,NA,14.787,0.049,90,-53.13
532,21,14,384.467,101.235,58202.096,10,150.912,91.005,NA,26.384,0.088,172.569,82.569
533,21,15,381.055,89.861,58502.107,12,162.787,79.656,NA,11.876,0.04,-106.699,80.732
534,21,16,377.642,89.861,58802.117,15,166.2,79.826,NA,3.412,0.011,180,-73.301
535,21,17,377.642,93.273,59102.128,25,169.612,83.23,NA,3.412,0.011,90,-90
536,21,18,377.642,93.273,59402.139,21,169.612,83.23,NA,0,0,0,-90
537,21,19,378.78,108.06,59702.15,15,184.443,97.929,NA,14.831,0.049,85.601,85.601
538,21,20,383.33,117.16,60002.161,9,194.617,106.923,NA,10.174,0.034,63.435,-22.166
539,22,1,174.603,10.048,57302.063,19,0,0,NA,NA,NA,NA,NA
540,22,2,184.461,14.598,57602.074,14,10.857,10.857,NA,10.857,0.036,24.775,NA
541,22,3,194.319,14.598,57902.085,18,20.716,20.234,NA,9.858,0.033,0,-24.775
542,22,4,200.385,19.906,58202.096,22,28.777,27.603,NA,8.061,0.027,41.186,41.186
543,22,5,204.177,22.181,58502.107,13,33.198,31.966,NA,4.422,0.015,30.964,-10.222
544,22,6,223.135,54.03,58802.117,20,70.263,65.497,NA,37.065,0.124,59.237,28.274
545,22,7,223.135,71.471,59102.128,36,87.704,78.283,NA,17.441,0.058,90,30.763
546,22,8,229.202,79.813,59402.139,34,98.018,88.59,NA,10.314,0.034,53.973,-36.027
547,22,9,245.126,83.605,59702.15,13,114.388,101.903,NA,16.37,0.055,13.392,-40.58
548,22,11,263.326,100.288,60002.161,26,139.077,126.55,NA,24.689,0.082,42.51,29.118
549,23,1,12.512,71.661,50401.815,20,0,0,NA,NA,NA,NA,NA
550,23,2,30.712,80.761,50701.826,6,20.348,20.348,NA,20.348,0.068,26.565,NA
551,23,3,30.712,72.798,51001.837,11,28.31,18.235,NA,7.962,0.027,-90,-116.565
552,23,4,34.124,67.111,51301.847,16,34.943,22.086,NA,6.633,0.022,-59.036,30.964
553,23,5,43.224,75.073,51601.858,10,47.034,30.901,NA,12.092,0.04,41.186,100.222
554,23,6,55.736,89.861,51901.869,8,66.405,46.899,NA,19.371,0.065,49.764,8.578
555,23,7,87.586,136.497,52201.88,17,122.879,99.196,NA,56.474,0.188,55.67,5.906
556,23,8,128.535,158.109,52501.891,21,169.182,144.688,NA,46.302,0.154,27.824,-27.846
557,23,9,138.772,184.271,52801.901,10,197.275,169.182,NA,28.094,0.094,68.629,40.805
558,23,10,138.772,184.271,53101.912,14,197.275,169.182,NA,0,0,0,-68.629
559,23,11,144.46,184.271,53401.923,17,202.962,173.468,NA,5.687,0.019,0,0
560,23,12,152.422,184.271,53701.934,11,210.925,179.599,NA,7.962,0.027,0,0
561,23,13,152.422,184.271,54001.945,9,210.925,179.599,NA,0,0,0,0
562,23,14,160.384,187.684,54301.955,16,219.588,187.956,NA,8.663,0.029,23.199,23.199
563,23,15,169.484,191.096,54601.966,8,229.306,197.243,NA,9.719,0.032,20.556,-2.643
564,23,16,178.584,194.508,54901.977,9,239.025,206.57,NA,9.719,0.032,20.556,0
565,23,17,227.495,194.508,55201.988,6,287.936,247.607,NA,48.911,0.163,0,-20.556
566,24,1,137.635,235.458,32101.156,5,0,0,NA,NA,NA,NA,NA
567,24,2,158.109,235.458,32401.167,9,20.475,20.475,NA,20.475,0.068,0,NA
568,24,3,171.759,234.32,32701.178,7,34.172,34.143,NA,13.697,0.046,-4.764,-4.764
569,24,4,187.684,234.32,33001.188,14,50.096,50.062,NA,15.925,0.053,0,4.764
570,24,5,197.921,260.482,33301.199,11,78.19,65.274,NA,28.094,0.094,68.629,68.629
571,24,6,197.921,260.482,33601.21,7,78.19,65.274,NA,0,0,0,-68.629
572,24,7,218.395,260.482,33901.221,8,98.664,84.549,NA,20.475,0.068,0,0
573,24,8,245.695,258.207,34201.232,16,126.059,110.429,NA,27.394,0.091,-4.764,-4.764
574,24,9,262.757,259.345,34501.242,8,143.159,127.382,NA,17.1,0.057,3.814,8.578
575,24,10,275.269,290.057,34801.253,5,176.321,148.069,NA,33.163,0.111,67.834,64.02
576,24,11,282.094,294.606,35101.264,6,184.524,156.1,NA,8.202,0.027,33.69,-34.144
577,24,12,287.782,298.019,35401.275,10,191.156,162.659,NA,6.633,0.022,30.964,-2.726
578,25,1,103.51,129.672,34201.232,16,0,0,NA,NA,NA,NA,NA
579,25,2,121.71,129.672,34501.242,8,18.2,18.2,NA,18.2,0.061,0,NA
580,25,3,127.397,129.672,34801.253,20,23.887,23.887,NA,5.687,0.019,0,0
581,25,4,144.46,129.672,35101.264,11,40.949,40.949,NA,17.062,0.057,0,0
582,25,5,177.446,122.847,35401.275,19,74.635,74.25,NA,33.685,0.112,-11.689,-11.689
583,25,6,204.746,116.023,35701.286,11,102.774,102.151,NA,28.14,0.094,-14.036,-2.347
584,25,7,229.77,116.023,36001.296,10,127.799,126.996,NA,25.024,0.083,0,14.036
585,25,8,246.832,87.586,36301.307,11,160.962,149.374,NA,33.163,0.111,-59.036,-59.036
586,25,9,254.795,69.386,36601.318,14,180.827,162.854,NA,19.865,0.066,-66.371,-7.334
587,25,10,255.932,61.424,36901.329,8,188.87,167.004,NA,8.043,0.027,-81.87,-15.499
588,25,11,258.207,58.011,37201.34,16,192.971,170.489,NA,4.101,0.014,-56.31,25.56
589,25,12,282.094,58.011,37501.35,10,216.858,192.425,NA,23.887,0.08,0,56.31
590,25,13,298.019,51.186,37801.361,9,234.184,209.746,NA,17.326,0.058,-23.199,-23.199
591,25,14,308.256,51.186,38101.372,12,244.421,219.274,NA,10.237,0.034,0,23.199
592,25,15,326.456,51.186,38401.383,8,262.621,236.357,NA,18.2,0.061,0,0
593,25,16,369.68,71.661,38701.394,10,310.449,272.418,NA,47.828,0.159,25.346,25.346
594,25,17,379.917,71.661,39001.404,34,320.686,282.429,NA,10.237,0.034,0,-25.346
595,25,18,381.055,77.348,39301.415,12,326.486,282.433,NA,5.8,0.019,78.69,78.69
596,25,19,387.88,80.761,39601.426,7,334.116,288.545,NA,7.63,0.025,26.565,-52.125
597,25,20,414.041,80.761,39901.437,11,360.278,314.36,NA,26.162,0.087,0,-26.565
598,25,21,434.516,80.761,40201.448,9,380.753,334.6,NA,20.475,0.068,0,0
599,25,22,450.441,68.249,40501.458,17,401.005,352.326,NA,20.252,0.068,-38.157,-38.157
600,25,23,468.64,58.011,40801.469,6,421.886,372.096,NA,20.881,0.07,-29.358,8.799
601,25,24,487.977,44.362,41101.48,16,445.556,393.818,NA,23.669,0.079,-35.218,-5.86
602,25,25,500.49,42.087,41401.491,14,458.273,406.527,NA,12.717,0.042,-10.305,24.913
603,25,26,511.864,29.574,41701.502,9,475.183,420.443,NA,16.91,0.056,-47.726,-37.421
604,25,27,520.964,12.512,42001.512,27,494.52,433.583,NA,19.337,0.064,-61.928,-14.201
605,26,1,92.136,45.499,31801.145,16,0,0,NA,NA,NA,NA,NA
606,26,2,108.06,51.186,32101.156,22,16.91,16.91,NA,16.91,0.056,19.654,NA
607,26,3,116.023,61.424,32401.167,12,29.879,28.709,NA,12.969,0.043,52.125,32.471
608,26,4,130.81,64.836,32701.178,13,45.055,43.239,NA,15.176,0.051,12.995,-39.13
609,26,5,163.797,86.448,33001.188,11,84.491,82.536,NA,39.436,0.131,33.232,20.237
610,26,6,175.171,97.823,33301.199,11,100.577,98.146,NA,16.086,0.054,45,11.768
611,26,7,195.646,105.785,33601.21,10,122.546,119.787,NA,21.968,0.073,21.251,-23.749
612,26,8,210.433,105.785,33901.221,13,137.333,132.773,NA,14.787,0.049,0,-21.251
613,26,9,240.008,105.785,34201.232,12,166.907,159.689,NA,29.574,0.099,0,0
614,26,10,240.008,105.785,34501.242,18,166.907,159.689,NA,0,0,0,0
615,26,11,262.757,108.06,34801.253,8,189.77,181.729,NA,22.863,0.076,5.711,5.711
616,26,12,299.156,108.06,35101.264,12,226.17,216.267,NA,36.399,0.121,0,-5.711
617,26,13,299.156,108.06,35401.275,12,226.17,216.267,NA,0,0,0,0
618,26,14,303.706,117.16,35701.286,26,236.343,223.377,NA,10.174,0.034,63.435,63.435
619,26,15,310.531,117.16,36001.296,12,243.168,229.852,NA,6.825,0.023,0,-63.435
620,26,16,341.243,121.71,36301.307,13,274.215,260.504,NA,31.047,0.103,8.427,8.427
621,26,17,354.893,119.435,36601.318,10,288.053,272.961,NA,13.838,0.046,-9.462,-17.889
622,26,18,354.893,119.435,36901.329,16,288.053,272.961,NA,0,0,0,9.462
623,26,19,376.505,110.335,37201.34,8,311.503,291.667,NA,23.45,0.078,-22.834,-22.834
624,26,20,376.505,110.335,37501.35,5,311.503,291.667,NA,0,0,0,22.834
625,26,21,383.33,110.335,37801.361,9,318.328,298.325,NA,6.825,0.023,0,0
626,26,22,412.904,109.198,38101.372,17,347.924,327.032,NA,29.596,0.099,-2.203,-2.203
