Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,9.1,437.928,0,2,14,0,0,NA,NA,NA,NA,NA
2,1,2,20.475,437.36,300.011,2,41,11.389,11.389,NA,11.389,0.038,-2.862,NA
3,1,3,29.006,431.672,600.022,2,21,21.642,20.866,NA,10.253,0.034,-33.69,-30.828
4,1,4,43.224,428.26,900.033,2,17,36.264,35.468,NA,14.622,0.049,-13.496,20.194
5,1,5,53.461,421.435,1200.044,2,119,48.568,47.328,NA,12.304,0.041,-33.69,-20.194
6,1,6,57.443,414.041,1500.055,2,69,56.965,53.922,NA,8.397,0.028,-61.699,-28.009
7,1,7,60.286,414.041,1800.066,2,69,59.809,56.486,NA,2.844,0.009,0,61.699
8,1,8,61.992,414.041,2100.077,2,57,61.515,58.036,NA,1.706,0.006,0,0
9,1,9,64.267,411.767,2400.088,2,19,64.732,61.057,NA,3.217,0.011,-45,-45
10,1,10,68.817,406.648,2700.099,2,19,71.581,67.414,NA,6.849,0.023,-48.366,-3.366
11,1,11,68.817,402.098,3000.11,2,37,76.131,69.642,NA,4.55,0.015,-90,-41.634
12,1,12,68.817,401.529,3300.121,2,31,76.7,69.936,NA,0.569,0.002,-90,0
13,1,13,67.111,394.704,3600.132,2,27,83.735,72.344,NA,7.035,0.023,-104.036,-14.036
14,1,14,61.992,387.88,3900.143,2,14,92.266,72.818,NA,8.531,0.028,-126.87,-22.834
15,1,15,57.443,382.761,4200.154,2,32,99.114,73.352,NA,6.849,0.023,-131.634,-4.764
16,1,16,54.03,368.542,4500.165,2,23,113.736,82.663,NA,14.622,0.049,-103.496,28.138
17,1,17,54.03,368.542,4800.176,2,18,113.736,82.663,NA,0,0,0,103.496
18,1,18,56.874,368.542,5100.187,2,19,116.58,84.242,NA,2.844,0.009,0,0
19,1,19,56.874,361.149,5400.198,2,19,123.974,90.429,NA,7.394,0.025,-90,-90
20,1,20,59.718,352.618,5700.209,2,53,132.966,99.197,NA,8.993,0.03,-71.565,18.435
21,1,21,59.718,349.205,6000.22,2,15,136.379,102.147,NA,3.412,0.011,-90,-18.435
22,1,22,62.561,350.343,6300.231,2,27,139.441,102.613,NA,3.063,0.01,21.801,111.801
23,1,23,62.561,345.224,6600.242,2,12,144.56,107.015,NA,5.119,0.017,-90,-111.801
24,1,24,66.542,339.537,6900.253,2,62,151.502,113.932,NA,6.942,0.023,-55.008,34.992
25,1,25,63.699,329.868,7200.264,2,26,161.58,121.07,NA,10.078,0.034,-106.39,-51.382
26,1,26,63.699,324.181,7500.275,2,45,167.268,126.173,NA,5.687,0.019,-90,16.39
