Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,530.633,318.683,0,2,62,0,0,NA,NA,NA,NA,NA
2,1,2,527.6,318.683,300.012,2,26,3.033,3.033,NA,3.033,0.01,180,NA
3,1,3,521.533,312.996,600.023,2,25,11.349,10.731,NA,8.316,0.028,-136.848,43.152
4,1,4,518.121,312.996,900.035,2,88,14.761,13.744,NA,3.412,0.011,180,-43.152
5,1,5,507.504,321.716,1200.046,2,32,28.5,23.327,NA,13.739,0.046,140.599,-39.401
6,1,6,496.129,325.887,1500.058,2,34,40.616,35.248,NA,12.115,0.04,159.864,19.264
7,1,7,494.234,309.583,1800.069,2,28,57.029,37.519,NA,16.414,0.055,-96.633,103.504
8,1,8,497.646,303.138,2100.081,2,59,64.322,36.466,NA,7.293,0.024,-62.103,34.53
9,1,9,502.954,293.659,2400.092,2,70,75.187,37.314,NA,10.864,0.036,-60.751,1.352
10,1,10,503.713,290.625,2700.104,2,64,78.313,38.884,NA,3.127,0.01,-75.964,-15.213
11,1,11,503.713,285.696,3000.115,2,65,83.242,42.577,NA,4.929,0.016,-90,-14.036
12,1,12,511.675,278.113,3300.127,2,103,94.238,44.781,NA,10.996,0.037,-43.603,46.397
13,1,13,507.883,272.426,3600.138,2,160,101.073,51.549,NA,6.835,0.023,-123.69,-80.087
14,1,14,502.196,268.634,3900.15,2,179,107.909,57.564,NA,6.835,0.023,-146.31,-22.62
15,1,15,496.509,268.634,4200.161,2,117,113.596,60.575,NA,5.687,0.019,180,-33.69
16,1,16,495.371,264.084,4500.173,2,148,118.286,64.996,NA,4.69,0.016,-104.036,75.964
17,1,17,491.959,261.809,4800.184,2,177,122.387,68.777,NA,4.101,0.014,-146.31,-42.274
18,1,18,487.03,252.33,5100.196,2,132,133.071,79.397,NA,10.684,0.036,-117.474,28.836
19,1,19,481.721,254.226,5400.207,2,157,138.708,80.914,NA,5.637,0.019,160.346,-82.179
20,1,20,476.792,254.226,5700.219,2,130,143.637,83.985,NA,4.929,0.016,180,19.654
21,1,21,471.484,254.226,6000.23,2,116,148.945,87.483,NA,5.308,0.018,180,0
22,1,22,467.692,256.88,6300.242,2,92,153.573,88.21,NA,4.628,0.015,145.008,-34.992
23,1,23,460.868,254.605,6600.253,2,151,160.767,94.727,NA,7.194,0.024,-161.565,53.427
24,1,24,457.076,254.605,6900.265,2,94,164.559,97.553,NA,3.792,0.013,180,-18.435
25,1,25,448.735,254.605,7200.276,2,55,172.9,103.987,NA,8.341,0.028,180,0
26,1,26,436.222,253.468,7500.288,2,85,185.464,114.745,NA,12.564,0.042,-174.806,5.194
27,1,27,428.26,251.572,7800.299,2,82,193.649,122.41,NA,8.185,0.027,-166.608,8.198
28,1,28,423.331,251.572,8100.311,2,63,198.578,126.561,NA,4.929,0.016,180,-13.392
29,1,29,423.141,247.401,8400.322,2,121,202.753,128.979,NA,4.175,0.014,-92.603,87.397
30,1,30,421.435,246.264,8700.334,2,104,204.804,131.029,NA,2.051,0.007,-146.31,-53.707
31,1,31,414.61,245.695,9000.345,2,80,211.652,137.071,NA,6.849,0.023,-175.236,-28.926
32,1,32,404.942,245.695,9300.357,2,40,221.321,145.346,NA,9.669,0.032,180,-4.764
