Nr,TID,PID,x [micron],y [micron],t [sec],c [idx],I [val],Len [micron],D2S [micron],D2R [micron],D2P [micron],v [micron/sec],α [deg],Δα [deg]
1,1,1,146.734,383.33,0,2,19,0,0,NA,NA,NA,NA,NA
2,1,2,150.147,380.486,300.011,2,38,4.442,4.442,NA,4.442,0.015,-39.806,NA
3,1,3,150.147,380.486,600.022,2,10,4.442,4.442,NA,0,0,0,39.806
4,1,4,154.128,378.78,900.032,2,14,8.773,8.681,NA,4.331,0.014,-23.199,-23.199
5,1,5,154.128,378.78,1200.043,2,11,8.773,8.681,NA,0,0,0,23.199
6,1,6,156.403,382.192,1500.054,2,12,12.875,9.735,NA,4.101,0.014,56.31,56.31
7,1,7,158.678,380.486,1800.065,2,13,15.718,12.277,NA,2.844,0.009,-36.87,-93.18
8,1,8,159.247,382.761,2100.075,2,8,18.063,12.525,NA,2.345,0.008,75.964,112.834
9,1,9,168.915,377.073,2400.086,2,11,29.281,23.046,NA,11.217,0.037,-30.466,-106.429
10,1,10,168.915,356.03,2700.097,2,16,50.324,35.175,NA,21.043,0.07,-90,-59.534
11,1,11,172.896,356.03,3000.108,2,20,54.305,37.811,NA,3.981,0.013,0,90
12,1,12,175.74,356.03,3300.118,2,11,57.149,39.832,NA,2.844,0.009,0,0
13,1,13,174.603,331.006,3600.129,2,7,82.199,59.283,NA,25.05,0.083,-92.603,-92.603
14,1,14,173.465,322.475,3900.14,2,12,90.806,66.467,NA,8.607,0.029,-97.595,-4.992
15,1,15,172.896,319.631,4200.151,2,10,93.706,68.862,NA,2.9,0.01,-101.31,-3.715
16,1,16,171.759,319.631,4500.162,2,16,94.843,68.438,NA,1.137,0.004,180,-78.69
17,1,17,171.759,307.687,4800.172,2,25,106.787,79.674,NA,11.944,0.04,-90,90
18,1,18,180.29,301.431,5100.183,2,11,117.366,88.506,NA,10.579,0.035,-36.254,53.746
19,1,19,187.115,301.431,5400.194,2,9,124.191,91.312,NA,6.825,0.023,0,36.254
20,1,20,192.802,298.588,5700.205,2,9,130.549,96.454,NA,6.359,0.021,-26.565,-26.565
21,1,21,195.646,288.919,6000.215,2,42,140.627,106.328,NA,10.078,0.034,-73.61,-47.045
22,1,22,195.646,287.213,6300.226,2,24,142.334,107.846,NA,1.706,0.006,-90,-16.39
23,1,23,195.077,278.113,6600.237,2,11,151.451,115.791,NA,9.118,0.03,-93.576,-3.576
24,1,24,195.077,278.113,6900.248,2,8,151.451,115.791,NA,0,0,0,93.576
25,1,25,196.215,278.113,7200.259,2,10,152.589,116.27,NA,1.137,0.004,0,0
26,1,26,196.215,278.113,7500.269,2,9,152.589,116.27,NA,0,0,0,0
27,1,27,193.94,274.701,7800.28,2,21,156.69,118.442,NA,4.101,0.014,-123.69,-123.69
28,1,28,193.94,274.701,8100.291,2,14,156.69,118.442,NA,0,0,0,123.69
29,1,29,196.783,258.207,8400.302,2,9,173.427,134.761,NA,16.737,0.056,-80.218,-80.218
30,1,30,203.04,258.207,8700.312,2,25,179.683,137.207,NA,6.256,0.021,0,80.218
31,1,31,205.315,258.207,9000.323,2,14,181.958,138.157,NA,2.275,0.008,0,0
32,1,32,205.315,254.795,9300.334,2,9,185.37,141.254,NA,3.412,0.011,-90,-90
33,1,33,209.864,245.126,9600.345,2,12,196.056,151.939,NA,10.686,0.036,-64.799,25.201
34,1,34,226.358,237.733,9900.355,2,12,214.131,165.947,NA,18.075,0.06,-24.146,40.653
35,1,35,229.202,237.733,10200.366,2,10,216.974,167.33,NA,2.844,0.009,0,24.146
36,1,36,232.045,237.164,10500.377,2,23,219.874,169.24,NA,2.9,0.01,-11.31,-11.31
37,1,37,230.339,225.789,10800.388,2,18,231.376,178.35,NA,11.502,0.038,-98.531,-87.221
38,1,38,230.908,212.139,11100.399,2,28,245.038,190.765,NA,13.662,0.046,-87.614,10.917
39,1,39,231.476,202.471,11400.409,2,16,254.723,199.728,NA,9.685,0.032,-86.634,0.981
40,1,40,247.401,183.702,11700.42,2,29,279.337,223.573,NA,24.614,0.082,-49.686,36.948
41,1,41,242.851,176.878,12000.431,2,18,287.539,227.73,NA,8.202,0.027,-123.69,-74.004
42,1,42,243.42,176.878,12300.442,2,19,288.108,227.97,NA,0.569,0.002,0,123.69
43,1,43,243.42,175.171,12600.452,2,14,289.814,229.517,NA,1.706,0.006,-90,-90
44,1,44,243.42,167.778,12900.463,2,17,297.208,236.243,NA,7.394,0.025,-90,0
45,1,45,249.676,155.266,13200.474,2,15,311.197,250.22,NA,13.989,0.047,-63.435,26.565
46,1,46,265.601,129.672,13500.485,2,13,341.34,280.127,NA,30.143,0.1,-58.109,5.326
47,1,47,263.895,117.729,13800.496,2,12,353.405,290.293,NA,12.065,0.04,-98.13,-40.021
48,1,48,261.62,115.454,14100.506,2,23,356.622,291.472,NA,3.217,0.011,-135,-36.87
49,1,49,257.07,102.942,14400.517,2,10,369.936,301.316,NA,13.314,0.044,-109.983,25.017
50,1,50,262.757,86.448,14700.528,2,26,387.383,318.747,NA,17.446,0.058,-70.974,39.009
51,1,51,272.426,79.055,15000.539,2,17,399.554,329.214,NA,12.172,0.041,-37.405,33.569
52,1,52,265.601,76.211,15300.549,2,13,406.948,329.319,NA,7.394,0.025,-157.38,-119.975
53,1,53,262.188,76.211,15600.56,2,7,410.36,328.103,NA,3.412,0.011,180,-22.62
54,1,54,262.188,81.898,15900.571,2,10,416.048,322.785,NA,5.687,0.019,90,-90
55,1,55,253.089,69.955,16200.582,2,7,431.063,330.93,NA,15.015,0.05,-127.304,142.696
56,1,56,253.089,51.186,16500.592,2,8,449.831,348.755,NA,18.768,0.063,-90,37.304
57,1,57,253.089,44.93,16800.603,2,21,456.087,354.719,NA,6.256,0.021,-90,0
58,1,58,278.113,42.087,17100.614,2,15,481.273,365.66,NA,25.186,0.084,-6.483,83.517
59,1,59,282.663,35.831,17400.625,2,18,489.008,373.138,NA,7.736,0.026,-53.973,-47.49
60,1,60,292.9,31.849,17700.636,2,17,499.992,380.661,NA,10.984,0.037,-21.251,32.722
61,1,61,304.844,31.281,18000.646,2,30,511.95,385.924,NA,11.957,0.04,-2.726,18.524
62,1,62,311.1,36.968,18300.657,2,32,520.404,383.383,NA,8.455,0.028,42.274,45
63,1,63,316.218,38.105,18600.668,2,32,525.648,384.584,NA,5.244,0.017,12.529,-29.745
64,1,64,316.218,38.105,18900.679,2,28,525.648,384.584,NA,0,0,0,-12.529
65,1,65,326.456,44.93,19200.689,2,23,537.952,383.163,NA,12.304,0.041,33.69,33.69
66,1,66,338.399,52.893,19500.7,2,15,552.306,382,NA,14.354,0.048,33.69,0
67,1,67,346.362,65.405,19800.711,2,15,567.137,375.403,NA,14.831,0.049,57.529,23.839
68,1,68,350.912,65.405,20100.722,2,14,571.687,377.842,NA,4.55,0.015,0,-57.529
69,1,69,357.736,70.524,20400.733,2,19,580.218,377.319,NA,8.531,0.028,36.87,36.87
70,1,70,372.524,82.467,20700.743,2,12,599.226,376.164,NA,19.008,0.063,38.928,2.058
71,1,71,379.348,92.704,21000.754,2,23,611.53,372.253,NA,12.304,0.041,56.31,17.382
72,1,72,388.448,92.136,21300.765,2,26,620.647,378.444,NA,9.118,0.03,-3.576,-59.886
73,1,73,390.154,100.667,21600.776,2,21,629.347,373.03,NA,8.7,0.029,78.69,82.266
74,1,74,391.292,102.373,21900.786,2,13,631.398,372.485,NA,2.051,0.007,56.31,-22.38
75,1,75,402.667,102.373,22200.797,2,12,642.773,380.05,NA,11.375,0.038,0,-56.31
76,1,76,402.667,102.373,22500.808,2,6,642.773,380.05,NA,0,0,0,0
77,2,1,257.638,474.328,2700.097,2,20,0,0,NA,NA,NA,NA,NA
78,2,2,257.638,466.934,3000.108,2,14,7.394,7.394,NA,7.394,0.025,-90,NA
79,2,3,261.62,466.365,3300.118,2,9,11.415,8.902,NA,4.022,0.013,-8.13,81.87
80,2,4,265.032,466.365,3600.129,2,17,14.828,10.866,NA,3.412,0.011,0,8.13
81,2,5,272.426,460.109,3900.14,2,12,24.513,20.514,NA,9.685,0.032,-40.236,-40.236
82,2,6,272.426,460.109,4200.151,2,8,24.513,20.514,NA,0,0,0,40.236
83,2,7,272.426,448.735,4500.162,2,10,35.888,29.558,NA,11.375,0.038,-90,-90
84,2,8,272.426,444.185,4800.172,2,9,40.438,33.575,NA,4.55,0.015,-90,0
85,2,9,276.976,442.478,5100.183,2,14,45.297,37.26,NA,4.859,0.016,-20.556,69.444
86,2,10,289.488,439.066,5400.194,2,11,58.266,47.516,NA,12.969,0.043,-15.255,5.301
